Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0020,13, 2.21564010716968E-0006, 9.09480535777721E-0006,UHA-0261,13,13,4,-9.96719041761991E+0000,UHA-0260,13,13,0, 1.60717095784390E+0001, 1.60717095784390E+0001,*,13,5, 1.05682978737498E+0001, 1.05682978737498E+0001,*,
UHA-0021,13, 6.03199773320190E-0006, 2.89661581135480E-0005,UHA-0261,13,13,4,-9.42448792508329E+0000,UHA-0260,13,13,0, 1.32149509886683E+0001, 1.23181743057160E+0001,*,13,5, 9.46647015847274E+0000, 8.20080770081185E+0000,*,
UHA-0022,13, 1.85526562233976E-0005, 1.72405960376163E-0004,UHA-0261,13,13,3,-2.75776044028780E+0000,UHA-0257,13,13,2,-1.91155119131793E+0000, 0.00000000000000E+0000,,13,4, 1.89394501832030E+0000, 1.89394501832030E+0000,+,
UHA-0023,11, 1.02073299741733E-0003, 1.44308230680205E-0004,UHA-0261,13,11,2,-4.70930439803147E+0000,UHA-0260,13,11,0, 8.10317241472491E+0000, 4.01531522352284E+0000,*,11,3, 5.55657569225531E+0000, 1.57845503139238E+0000,+,
UHA-0024,13, 5.65526635672172E-0005, 2.39480434697786E-0004,UHA-0261,13,13,5,-1.45712542165831E+0001,UHA-0420,13,13,6,-1.73531182146386E+0001, 0.00000000000000E+0000,,13,7,-3.67830658737180E+0000, 0.00000000000000E+0000,,
UHA-0025,13, 1.68233802834245E-0005, 4.96077764012214E-0006,UHA-0261,13,13,2, 2.44987938831681E+0000,UHA-0258,12,12,4,-6.88642118102100E+0000, 0.00000000000000E+0000,,12,4, 7.54721269018816E-0001, 7.54721269018816E-0001,+,
UHA-0026,12, 3.42726955803099E-0004, 9.41449997052685E-0006,UHA-0261,13,12,1, 5.99899847503736E+0000,UHA-0351,13,12,2, 7.35172158069326E-0001, 0.00000000000000E+0000,,12,4,-2.91167261166842E+0000, 0.00000000000000E+0000,,
UHA-0027,13, 6.51349831572263E-0005, 2.12452776517861E-0004,UHA-0261,13,13,3,-3.59323356720280E+0000,UHA-0257,13,13,2,-1.48508880462359E+0000, 0.00000000000000E+0000,,13,3, 7.63453802509767E+0000, 7.63453802509767E+0000,*,
UHA-0028,13, 8.75231531515902E-0005, 3.12314560358687E-0005,UHA-0261,13,13,3,-5.16504311670383E+0000,UHA-0257,13,13,1, 2.42447912783023E+0000, 0.00000000000000E+0000,,13,6,-4.11703729833862E+0000, 0.00000000000000E+0000,,
UHA-0029,13, 1.94111394298839E-0004, 3.96508753604216E-0006,UHA-0261,13,13,2,-2.72955229298336E+0000,UHA-0257,13,13,0, 6.92111760018966E+0000, 2.81524977101347E+0000,+,13,5,-2.02954348597551E+0000, 0.00000000000000E+0000,,
UHA-0036,12, 1.10723642264142E-0004, 4.05347403808521E-0005,UHA-0261,13,12,2,-2.31431953529467E+0000,UHA-0257,13,12,1, 2.62803540891975E+0000, 0.00000000000000E+0000,,12,4, 4.02916878521243E-0001, 4.02916878521243E-0001,+,
UHA-0037,13, 1.04816162161229E-0004, 2.66431071593173E-0003,UHA-0261,13,13,4,-1.01757513191737E+0001,UHA-0257,13,13,1, 2.09505819631977E+0000, 2.09505819631977E+0000,+,13,4, 6.85173824375754E+0000, 6.85173824375754E+0000,*,
UHA-0038,13, 8.52139692667402E-0005, 4.69484497638109E-0006,UHA-0261,13,13,3,-4.94103465934440E+0000,UHA-0351,13,13,0, 1.39177379604097E+0001, 9.64281085301590E+0000,*,13,4, 1.09679039852046E+0001, 1.09044959983655E+0001,*,
