Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0020,9,UHA-0261,9,9,3,-7.06779693337487E+0000,UHA-0260,9,9,0, 1.32518234166607E+0001, 1.32518234166607E+0001,*,9,4, 8.15360125344958E+0000, 8.15360125344958E+0000,*,
UHA-0021,9,UHA-0261,9,9,3,-6.52509444083825E+0000,UHA-0260,9,9,0, 1.03950648268902E+0001, 1.03950648268902E+0001,*,9,4, 7.05177353817243E+0000, 6.79731574619539E+0000,*,
UHA-0022,9,UHA-0261,9,9,2, 1.41633043957241E-0001,UHA-0257,9,9,2,-4.04508514437461E+0000, 0.00000000000000E+0000,,9,3, 1.67837601431584E-0001, 1.67837601431584E-0001,-,
UHA-0023,8,UHA-0261,9,8,2,-4.68500946005453E+0000,UHA-0260,9,8,0, 6.75896664284328E+0000, 4.01531522352284E+0000,*,8,3, 3.81118546194078E+0000, 1.20611819559243E+0000,+,
UHA-0024,9,UHA-0261,9,9,3,-6.68368776623581E+0000,UHA-0420,9,9,3,-5.87500243247464E+0000, 0.00000000000000E+0000,,9,4, 1.48307464233204E+0000, 1.48307464233204E+0000,+,
UHA-0025,9,UHA-0261,9,9,2, 1.40303690744319E+0000,UHA-0258,9,9,4,-9.43331648320808E+0000, 0.00000000000000E+0000,,9,4,-2.48271823752437E+0000, 0.00000000000000E+0000,,
UHA-0026,9,UHA-0261,9,9,1, 3.86359547678339E+0000,UHA-0351,9,9,1, 4.27137865347293E+0000, 2.13682450866795E+0000,+,9,3, 1.01956627023919E+0000, 1.01956627023919E+0000,+,
UHA-0027,9,UHA-0261,9,9,2,-6.93840082957758E-0001,UHA-0257,9,9,2,-2.93192097296567E+0000, 0.00000000000000E+0000,,9,2, 6.37980878558911E+0000, 6.37980878558911E+0000,*,
UHA-0028,9,UHA-0261,9,9,2,-2.26564963245879E+0000,UHA-0257,9,9,1, 2.90945174773558E-0001, 0.00000000000000E+0000,,9,5,-5.84314471522734E+0000, 0.00000000000000E+0000,,
UHA-0029,9,UHA-0261,9,9,2,-3.09004256513549E+0000,UHA-0257,9,9,0, 6.44776237801355E+0000, 2.70649540322131E+0000,+,9,4, 4.62062112516446E-0001, 4.62062112516446E-0001,-,
UHA-0036,9,UHA-0261,9,9,2,-3.33196159830132E+0000,UHA-0257,9,9,1, 1.61863070521847E+0000, 0.00000000000000E+0000,,9,4,-6.08287787162607E-0001, 0.00000000000000E+0000,,
UHA-0037,9,UHA-0261,9,9,3,-7.41968287303168E+0000,UHA-0257,9,9,1, 1.21758650960165E+0000, 0.00000000000000E+0000,,9,3, 5.62965023856594E+0000, 5.62965023856594E+0000,*,
UHA-0038,9,UHA-0261,9,9,2,-2.18496621320235E+0000,UHA-0351,9,9,0, 9.05124550774928E+0000, 6.23173750399602E+0000,*,9,3, 5.37829041160758E+0000, 2.98359986250358E+0000,+,
UHA-0040,9,UHA-0261,9,9,2,-2.03746408256834E+0000,UHA-0351,9,9,0, 7.31627569597773E+0000, 4.69598494350745E+0000,*,9,3, 4.31455819819025E+0000, 4.31455819819025E+0000,*,
UHA-0041,9,UHA-0261,9,9,1, 3.25846676490473E+0000,UHA-0260,9,9,0, 1.22937129363506E+0001, 1.22937129363506E+0001,*,9,2, 1.17678455948423E+0001, 1.17678455948423E+0001,*,
UHA-0043,9,UHA-0260,9,9,0, 8.75636845816660E+0000,UHA-0261,9,9,2,-3.44197396461608E+0000, 0.00000000000000E+0000,,9,2,-3.39243032093764E+0000, 0.00000000000000E+0000,,
UHA-0044,9,UHA-0260,9,9,0, 1.24327935203142E+0001,UHA-0512,9,9,2, 5.78407187383683E-0001, 5.78407187383683E-0001,-,9,4,-8.27723798109037E+0000, 0.00000000000000E+0000,,
UHA-0045,9,UHA-0260,9,9,2,-3.36762824521037E+0000,UHA-0351,9,9,1, 2.78431442538866E+0000, 2.78431442538866E+0000,+,9,4,-6.53747500405084E-0002, 0.00000000000000E+0000,,
UHA-0046,9,UHA-0260,9,9,1, 4.09961471963408E+0000,UHA-0257,9,9,1, 1.75564985995416E+0000, 0.00000000000000E+0000,,9,1, 8.41637497604366E+0000, 8.41637497604366E+0000,*,
UHA-0047,9,UHA-0260,9,9,1, 5.20681743747588E+0000,UHA-0351,9,9,1, 1.15688298599754E+0000, 1.15688298599754E+0000,-,9,2, 2.01755944881767E+0000, 2.01755944881767E+0000,+,
UHA-0048,9,UHA-0260,9,9,1, 1.40519431061593E+0000,UHA-0257,9,9,1, 1.40242505883412E+0000, 1.40242505883412E+0000,-,9,1, 7.85328521397364E+0000, 7.85328521397364E+0000,*,
UHA-0049,9,UHA-0260,9,9,3,-6.71507141318054E+0000,UHA-0257,9,9,2,-4.07426079888861E+0000, 0.00000000000000E+0000,,9,4, 2.24699320670287E+0000, 2.24699320670287E+0000,+,
UHA-0050,9,UHA-0260,9,9,0, 1.02118121724494E+0001,UHA-0261,9,9,2, 3.52351972022895E+0000, 3.52311716472096E+0000,+,9,2, 2.76388968951678E+0000, 2.76388968951678E+0000,+,
UHA-0051,9,UHA-0260,9,9,3,-8.14220147458201E+0000,UHA-0258,9,9,4,-1.08599957740520E+0001, 0.00000000000000E+0000,,9,5,-2.48909703541368E+0000, 0.00000000000000E+0000,,
UHA-0052,9,UHA-0260,9,9,1, 2.73941958462568E+0000,UHA-0361,7,7,2,-3.98583701561622E+0000, 0.00000000000000E+0000,,7,3,-2.92428608884463E+0000, 0.00000000000000E+0000,,
UHA-0053,9,UHA-0260,9,9,2,-1.99976410264415E+0000,UHA-0351,9,9,0, 1.02617190575868E+0001, 1.02617190575868E+0001,*,9,2, 1.11757431144873E+0001, 1.11757431144873E+0001,*,
UHA-0054,9,UHA-0260,9,9,2,-1.42805065561365E+0000,UHA-0351,9,9,1, 3.90470472040961E+0000, 3.90470472040961E+0000,*,9,3, 4.19656218023784E+0000, 4.19656218023784E+0000,*,
UHA-0055,9,UHA-0260,9,9,3,-7.77070826329365E+0000,UHA-0372,9,9,3,-7.35762707558760E+0000, 0.00000000000000E+0000,,9,5,-3.43508204675829E+0000, 0.00000000000000E+0000,,
UHA-0056,8,UHA-0260,9,8,2,-4.47081463264472E+0000,UHA-0258,9,8,3,-6.82767960910490E+0000, 0.00000000000000E+0000,,8,3, 1.29142699076537E+0000, 1.29142699076537E+0000,+,
UHA-0058,9,UHA-0260,9,9,2,-2.97453909423601E-0001,UHA-0351,9,9,0, 9.17046079891756E+0000, 9.17046079891756E+0000,*,9,2, 1.00582994007478E+0001, 1.00582994007478E+0001,*,
UHA-0059,9,UHA-0260,9,9,3,-6.49355164242375E+0000,UHA-0257,9,9,1, 2.11721388707879E+0000, 2.11721388707879E+0000,+,9,4, 4.05226367751455E+0000, 4.05226367751455E+0000,*,
UHA-0068,9,UHA-0014,9,9,0, 7.19351788210460E+0000,UHA-0351,9,9,0, 4.61172270802801E+0000, 0.00000000000000E+0000,,9,1, 3.34458525090441E+0000, 2.95425080912335E-0001,-,
UHA-0069,9,UHA-0014,9,9,0, 5.52343234913411E+0000,UHA-0266,9,9,1, 4.91177879265881E+0000, 0.00000000000000E+0000,,9,1, 6.36815397213627E+0000, 6.36815397213627E+0000,*,
