row_names,Offspring ID,Loci typed,First parent non-exclusion probability,Second parent non-exclusion probability,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
1,UHA-0126,9,1.50E-04,9.32E-06,UHA-0010,9,9,1,2.94E+00,UHA-0266,9,9,2,-2.49E+00,0.00E+00,,9,2,2.41E+00,2.22E+00,+
2,UHA-0127,8,1.25E-03,8.88E-04,UHA-0010,9,8,1,8.73E-01,UHA-0259,9,8,1,3.06E+00,1.16E+00,-,8,2,4.25E+00,3.33E+00,+
3,UHA-0135,9,1.39E-03,1.08E-04,UHA-0010,9,9,1,2.53E+00,UHA-0257,9,9,0,5.60E+00,5.60E+00,*,9,1,9.89E+00,9.89E+00,*
4,UHA-0166,9,7.27E-05,1.49E-08,UHA-0013,9,9,0,7.91E+00,UHA-0263,9,9,1,4.38E+00,1.69E+00,+,9,4,-7.33E+00,0.00E+00,
5,UHA-0169,9,1.74E-03,9.43E-07,UHA-0013,9,9,0,4.36E+00,UHA-0269,9,9,0,1.11E+01,6.08E+00,*,9,0,1.45E+01,1.45E+01,*
6,UHA-0058,9,4.74E-04,6.97E-06,UHA-0260,9,9,0,8.56E+00,UHA-0351,9,9,0,8.79E+00,8.79E+00,*,9,0,1.22E+01,1.22E+01,*
7,UHA-0020,9,2.20E-05,1.86E-07,UHA-0261,9,9,1,3.06E+00,UHA-0260,9,9,0,1.50E+01,1.50E+01,*,9,1,1.70E+01,1.70E+01,*
8,UHA-0023,8,2.07E-03,4.31E-04,UHA-0261,9,8,1,5.43E-01,UHA-0260,9,8,0,9.76E+00,8.68E+00,*,8,1,9.91E+00,9.91E+00,*
9,UHA-0025,9,4.04E-05,9.06E-07,UHA-0261,9,9,0,1.14E+01,UHA-0258,9,9,1,5.26E+00,5.26E+00,*,9,1,8.28E+00,8.28E+00,*
10,UHA-0026,9,1.36E-03,6.30E-05,UHA-0261,9,9,0,1.08E+01,UHA-0351,9,9,1,3.88E+00,3.88E+00,+,9,1,5.13E+00,5.13E+00,*
11,UHA-0027,9,4.97E-04,9.45E-06,UHA-0261,9,9,0,9.29E+00,UHA-0257,9,9,0,7.20E+00,7.20E+00,*,9,0,1.15E+01,1.15E+01,*
12,UHA-0028,9,8.81E-04,1.33E-04,UHA-0261,9,9,1,4.24E+00,UHA-0257,9,9,0,5.59E+00,5.59E+00,*,9,1,9.82E+00,9.82E+00,*
13,UHA-0099,9,2.83E-04,2.06E-05,UHA-0257,9,9,0,9.30E+00,UHA-0258,9,9,0,8.78E+00,8.78E+00,*,9,0,1.14E+01,1.14E+01,*
14,UHA-0029,9,5.47E-04,2.23E-04,UHA-0261,9,9,1,3.32E+00,UHA-0257,9,9,0,6.35E+00,6.35E+00,*,9,1,9.58E+00,9.58E+00,*
15,UHA-0043,8,1.77E-03,1.16E-04,UHA-0260,9,8,0,5.99E+00,UHA-0261,9,8,1,8.84E-01,8.84E-01,-,8,1,2.21E+00,2.21E+00,+
16,UHA-0045,9,5.16E-04,2.92E-05,UHA-0260,9,9,0,1.00E+01,UHA-0351,9,9,1,2.34E+00,2.34E+00,+,9,1,4.64E+00,4.64E+00,*
17,UHA-0047,9,1.86E-03,7.05E-05,UHA-0260,9,9,0,9.52E+00,UHA-0351,9,9,1,8.42E-01,8.42E-01,-,9,1,3.20E+00,3.20E+00,+
18,UHA-0050,9,1.45E-04,2.01E-06,UHA-0260,9,9,1,2.26E+00,UHA-0261,9,9,0,1.42E+01,1.42E+01,*,9,1,1.58E+01,1.58E+01,*
