Offspring ID,Loci typed,Mother ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Candidate father ID,Loci typed,Pair loci compared,Pair loci mismatching,Pair LOD score,Pair Delta,Pair confidence,Trio loci compared,Trio loci mismatching,Trio LOD score,Trio Delta,Trio confidence
UHA-0020,8,UHA-0261,8,8,0, 6.82095403534087E+0000,UHA-0260,8,8,0, 1.38683556994773E+0001, 9.97081766775141E+0000,*,8,0, 1.62686172252642E+0001, 1.62686172252642E+0001,*,
UHA-0021,8,UHA-0261,8,8,0, 7.12220711924558E+0000,UHA-0260,8,8,0, 1.29189581264288E+0001, 7.94903996431699E+0000,*,8,0, 1.46869241872633E+0001, 1.31207146214279E+0001,*,
UHA-0021,8,UHA-0261,8,8,0, 7.12220711924558E+0000,UHA-0010,8,8,1, 4.96991816211184E+0000, 0.00000000000000E+0000,,8,3, 1.56620956583542E+0000, 0.00000000000000E+0000,,
UHA-0022,8,UHA-0261,8,8,0, 5.39828520254270E+0000,UHA-0257,8,8,0, 5.72528258187392E+0000, 2.39080020612887E+0000,+,8,0, 8.90477488832740E+0000, 3.35485026647847E+0000,+,
UHA-0022,8,UHA-0261,8,8,0, 5.39828520254270E+0000,UHA-0258,8,8,1, 3.33448237574505E+0000, 0.00000000000000E+0000,,8,1, 5.54992462184893E+0000, 0.00000000000000E+0000,,
UHA-0023,7,UHA-0261,8,7,0, 3.81536729394794E+0000,UHA-0260,8,7,0, 7.91170650448004E+0000, 4.11887328921205E+0000,*,7,0, 8.81997218742368E+0000, 7.20490403535755E+0000,*,
UHA-0023,7,UHA-0261,8,7,0, 3.81536729394794E+0000,UHA-0010,8,7,0, 3.79283321526799E+0000, 0.00000000000000E+0000,,7,2, 1.61506815206614E+0000, 0.00000000000000E+0000,,
UHA-0023,7,UHA-0261,8,7,0, 3.81536729394794E+0000,UHA-0011,8,7,1, 1.58941518350860E+0000, 0.00000000000000E+0000,,7,2, 1.15048451853371E+0000, 0.00000000000000E+0000,,
UHA-0023,7,UHA-0261,8,7,0, 3.81536729394794E+0000,UHA-0009,8,7,1, 1.48354762709088E+0000, 0.00000000000000E+0000,,7,2, 9.89503707774051E-0001, 0.00000000000000E+0000,,
UHA-0023,7,UHA-0261,8,7,0, 3.81536729394794E+0000,UHA-0264,8,7,0, 2.75479564116033E+0000, 0.00000000000000E+0000,,7,2, 9.60158226569407E-0001, 0.00000000000000E+0000,,
UHA-0023,7,UHA-0261,8,7,0, 3.81536729394794E+0000,UHA-0015,8,7,1, 3.99396848471267E-0002, 0.00000000000000E+0000,,7,2, 4.59185952842693E-0001, 0.00000000000000E+0000,,
UHA-0023,7,UHA-0261,8,7,0, 3.81536729394794E+0000,UHA-0016,7,7,1, 1.58314271308301E-0001, 0.00000000000000E+0000,,7,2, 4.38999481583209E-0001, 0.00000000000000E+0000,,
UHA-0025,8,UHA-0261,8,8,0, 7.13495639692477E+0000,UHA-0258,8,8,1, 5.11696515232592E+0000, 2.18701115717567E+0000,-,8,1, 7.61694030481256E+0000, 6.32473199825151E+0000,*,
UHA-0025,8,UHA-0261,8,8,0, 7.13495639692477E+0000,UHA-0011,8,8,2, 2.92995399515025E+0000, 0.00000000000000E+0000,,8,3, 1.29220830656105E+0000, 0.00000000000000E+0000,,
UHA-0025,8,UHA-0261,8,8,0, 7.13495639692477E+0000,UHA-0015,8,8,3,-3.09399418097714E-0001, 0.00000000000000E+0000,,8,3, 1.09288646001429E-0001, 0.00000000000000E+0000,,
UHA-0026,8,UHA-0261,8,8,0, 7.51247684057568E+0000,UHA-0217,8,8,2,-3.38794043999688E-0001, 0.00000000000000E+0000,,8,2, 1.81724852279843E+0000, 1.36836946357598E+0000,-,
UHA-0026,8,UHA-0261,8,8,0, 7.51247684057568E+0000,UHA-0016,7,7,0, 1.52850531208284E+0000, 0.00000000000000E+0000,,7,2, 4.48879059222449E-0001, 0.00000000000000E+0000,,
UHA-0027,8,UHA-0261,8,8,0, 5.22452334094472E+0000,UHA-0257,8,8,0, 6.67936898283704E+0000, 4.15727675139316E+0000,*,8,0, 1.00347655343169E+0001, 9.22768125016659E+0000,*,
UHA-0027,8,UHA-0261,8,8,0, 5.22452334094472E+0000,UHA-0258,8,8,2, 2.52209223144388E+0000, 0.00000000000000E+0000,,8,3, 8.07084284150308E-0001, 0.00000000000000E+0000,,
UHA-0027,8,UHA-0261,8,8,0, 5.22452334094472E+0000,UHA-0325,8,8,3,-1.30905705055229E+0000, 0.00000000000000E+0000,,8,3, 2.97169069975575E-0001, 0.00000000000000E+0000,,
UHA-0028,8,UHA-0261,8,8,0, 7.67401973050362E+0000,UHA-0257,8,8,0, 3.68268613235054E+0000, 8.09226287770809E-0001,-,8,1, 5.61201789670911E+0000, 5.51989700058124E+0000,*,
UHA-0028,8,UHA-0261,8,8,0, 7.67401973050362E+0000,UHA-0016,7,7,0, 1.22208834733651E+0000, 0.00000000000000E+0000,,7,2, 9.21208961278678E-0002, 0.00000000000000E+0000,,
UHA-0029,8,UHA-0261,8,8,0, 6.80715222913371E+0000,UHA-0257,8,8,0, 5.34679356901405E+0000, 3.57622673136617E+0000,+,8,0, 9.00537975271262E+0000, 7.20366056001034E+0000,*,
UHA-0029,8,UHA-0261,8,8,0, 6.80715222913371E+0000,UHA-0258,8,8,1, 1.77056683764788E+0000, 0.00000000000000E+0000,,8,2, 1.80171919270229E+0000, 0.00000000000000E+0000,,
UHA-0039,8,UHA-0261,8,8,0, 1.06398531607066E+0001,UHA-0010,8,8,0, 5.90421070808913E+0000, 2.75644251551414E+0000,+,8,0, 6.00623766180670E+0000, 2.80038708676174E+0000,+,
UHA-0039,8,UHA-0261,8,8,0, 1.06398531607066E+0001,UHA-0227,8,8,1, 3.14776819257499E+0000, 0.00000000000000E+0000,,8,1, 3.20585057504496E+0000, 0.00000000000000E+0000,,
UHA-0039,8,UHA-0261,8,8,0, 1.06398531607066E+0001,UHA-0011,8,8,1, 2.66184289620780E+0000, 0.00000000000000E+0000,,8,1, 2.32399507688072E+0000, 0.00000000000000E+0000,,
UHA-0039,8,UHA-0261,8,8,0, 1.06398531607066E+0001,UHA-0263,8,8,1, 3.11836292602464E+0000, 0.00000000000000E+0000,,8,1, 2.31445994133202E+0000, 0.00000000000000E+0000,,
UHA-0039,8,UHA-0261,8,8,0, 1.06398531607066E+0001,UHA-0260,8,8,1, 1.37302987779303E+0000, 0.00000000000000E+0000,,8,1, 1.85862958339328E+0000, 0.00000000000000E+0000,,
UHA-0039,8,UHA-0261,8,8,0, 1.06398531607066E+0001,UHA-0015,8,8,1, 1.72808439596486E+0000, 0.00000000000000E+0000,,8,1, 1.65561136313059E+0000, 0.00000000000000E+0000,,
UHA-0039,8,UHA-0261,8,8,0, 1.06398531607066E+0001,UHA-0009,8,8,1, 5.09231308046016E-0001, 0.00000000000000E+0000,,8,1, 1.58974672066304E+0000, 0.00000000000000E+0000,,
UHA-0039,8,UHA-0261,8,8,0, 1.06398531607066E+0001,UHA-0016,7,7,1,-9.85986705208987E-0001, 0.00000000000000E+0000,,7,1, 4.93600710550959E-0001, 0.00000000000000E+0000,,
UHA-0043,8,UHA-0260,8,8,0, 3.83849997542368E+0000,UHA-0261,8,8,0, 4.24837088183461E+0000, 3.20048554058570E+0000,+,8,1, 5.25971186112056E+0000, 3.93111288237202E+0000,*,
UHA-0043,8,UHA-0260,8,8,0, 3.83849997542368E+0000,UHA-0270,8,8,2,-1.70458342571724E-0001, 0.00000000000000E+0000,,8,2, 1.32859897874854E+0000, 0.00000000000000E+0000,,
UHA-0045,8,UHA-0260,8,8,0, 9.29940592358266E+0000,UHA-0016,7,7,0, 2.77523864117344E+0000, 1.66073120682165E+0000,-,7,1, 2.78991121413161E+0000, 2.06957781215750E+0000,+,
UHA-0045,8,UHA-0260,8,8,0, 9.29940592358266E+0000,UHA-0264,8,8,1, 1.11450743435178E+0000, 0.00000000000000E+0000,,8,2, 7.20333401974114E-0001, 0.00000000000000E+0000,,
UHA-0045,8,UHA-0260,8,8,0, 9.29940592358266E+0000,UHA-0010,8,8,2, 8.32253492860104E-0001, 0.00000000000000E+0000,,8,2, 6.76747845102400E-0001, 0.00000000000000E+0000,,
UHA-0047,8,UHA-0260,8,8,0, 7.44145400123120E+0000,UHA-0271,8,8,2, 6.94362918897138E-0001, 0.00000000000000E+0000,,8,2, 1.83660750374520E+0000, 8.35933106700693E-0003,-,
UHA-0047,8,UHA-0260,8,8,0, 7.44145400123120E+0000,UHA-0256,8,8,2, 1.93857352916174E-0001, 0.00000000000000E+0000,,8,2, 1.82824817267820E+0000, 0.00000000000000E+0000,,
UHA-0047,8,UHA-0260,8,8,0, 7.44145400123120E+0000,UHA-0264,8,8,0, 2.18662724153955E+0000, 3.78461424901144E-0002,-,8,2, 9.56558944048299E-0001, 0.00000000000000E+0000,,
UHA-0047,8,UHA-0260,8,8,0, 7.44145400123120E+0000,UHA-0016,7,7,0, 2.14878109904944E+0000, 0.00000000000000E+0000,,7,2, 2.92607424126622E-0001, 0.00000000000000E+0000,,
UHA-0052,8,UHA-0260,8,8,0, 1.11371275225764E+0001,UHA-0016,7,7,0, 1.59536211079928E+0000, 1.59536211079928E+0000,-,7,2, 2.19312203669823E-0001, 2.19312203669823E-0001,-,
UHA-0056,7,UHA-0260,8,7,0, 3.03680874957574E+0000,UHA-0258,8,7,0, 5.73761620764126E+0000, 2.67701407302177E+0000,+,7,0, 7.52778685806378E+0000, 6.30054200734145E+0000,*,
UHA-0056,7,UHA-0260,8,7,0, 3.03680874957574E+0000,UHA-0257,8,7,1, 2.20156000859072E+0000, 0.00000000000000E+0000,,7,2, 1.22724485072233E+0000, 0.00000000000000E+0000,,
