13,417,2,155,262,,,,,,,,,,,,,,,,,,,,,,,
,,,O,UHA-0351,,,,,,,,,,,,,,,,,,,,,,,
Ind,Pop,QS03797_1,QS03797_2,MSQ13_1,MSQ13_2,QrZAG20_1,QrZAG20_2,QS00314_1,QS00314_2,QpZAG9_1,QpZAG9_2,QS1904_1,QS1904_2,MSQ4_1,MSQ4_2,QpZAG110_1,QpZAG110_2,QS00562_1,QS00562_2,QpZAG119_1,QpZAG119_2,QrZAG87_1,QrZAG87_2,QpZAG1-5_1,QpZAG1-5_2,QM69-2M1_1,QM69-2M1_2
UHA-0126,O,4,4,13,13,1,12,3,3,13,13,2,3,3,15,2,2,2,3,30,30,4,4,8,10,6,10
UHA-0127,O,3,3,13,15,13,13,5,5,0,0,2,3,12,12,2,2,0,0,30,34,4,4,8,6,10,12
UHA-0135,O,4,3,13,15,1,12,3,5,8,15,2,3,3,8,2,3,2,2,30,23,4,4,8,13,10,14
UHA-0166,O,4,2,6,6,13,11,3,3,13,15,2,3,12,10,1,7,2,3,21,31,4,4,8,9,11,11
UHA-0169,O,3,3,13,15,13,5,3,3,13,11,2,2,4,11,2,2,2,3,8,19,4,8,8,8,12,5
UHA-0058,O,3,3,13,6,13,6,3,3,15,15,3,7,4,7,2,1,0,0,31,8,4,4,8,3,6,6
UHA-0020,O,2,9,13,13,12,2,5,5,8,8,2,7,12,7,2,2,2,2,19,29,4,4,13,13,6,6
UHA-0023,O,3,9,13,13,13,11,3,5,8,15,2,2,0,0,0,0,2,2,19,19,4,4,8,13,6,6
UHA-0025,O,3,3,6,14,11,5,3,5,8,17,3,3,3,11,2,2,2,2,16,26,4,4,8,13,6,6
UHA-0026,O,3,2,13,6,12,6,3,3,15,11,2,3,12,12,2,2,0,0,31,16,4,4,8,3,6,10
UHA-0027,O,3,3,6,14,11,10,5,4,8,19,2,3,3,9,2,2,2,2,31,16,4,4,8,3,6,6
UHA-0028,O,3,2,15,6,12,10,5,5,8,15,2,3,12,9,2,2,2,2,23,29,4,4,8,13,6,14
UHA-0099,O,3,3,14,14,5,10,3,5,15,19,2,2,8,9,2,2,2,2,31,26,4,4,6,3,6,6
UHA-0029,O,3,2,6,14,1,12,3,4,8,15,2,2,12,8,2,3,2,2,31,31,4,4,8,13,6,6
UHA-0043,O,3,3,13,6,13,11,0,0,0,0,2,2,3,7,2,2,2,2,8,8,4,4,8,8,6,6
UHA-0045,O,3,9,13,13,6,2,3,5,15,15,2,2,12,12,2,2,2,2,19,22,4,4,8,13,6,10
UHA-0047,O,3,3,13,6,13,6,3,3,8,15,2,7,4,7,2,3,2,2,8,8,4,4,8,3,6,6
UHA-0050,O,2,2,13,6,12,13,3,3,8,11,2,3,12,12,2,2,2,3,8,16,4,4,8,13,6,6
UHA-0052,O,3,9,13,13,6,2,5,5,8,15,2,3,11,7,2,2,2,2,19,25,4,4,8,11,6,10
UHA-0056,O,4,4,13,14,12,13,3,5,15,15,2,2,0,0,2,2,2,2,19,24,4,4,8,6,6,6
UHA-0068,O,4,3,13,13,12,6,3,3,13,15,2,2,4,6,0,0,3,3,31,31,4,4,8,9,6,12
