Ind1,Ind2,dist,relate_coef
UHA-0001,UHA-0002,0.00668806,0.196574
UHA-0001,UHA-0003,0.267036,0.258883
UHA-0001,UHA-0004,0.0925305,-0.271997
UHA-0001,UHA-0005,0.383957,0.140623
UHA-0001,UHA-0006,0.391707,-0.114884
UHA-0001,UHA-0007,0.145191,-0.03367
UHA-0001,UHA-0008,0.103657,-0.027622
UHA-0001,UHA-0009,0.255702,0.004111
UHA-0001,UHA-0010,0.298189,-0.126306
UHA-0001,UHA-0011,0.264398,-0.07806
UHA-0001,UHA-0012,0.308355,-0.03367
UHA-0001,UHA-0013,0.200576,-0.151824
UHA-0001,UHA-0014,0.382005,-0.129938
UHA-0001,UHA-0015,0.378353,0.031395
UHA-0001,UHA-0016,0.385189,-0.087588
UHA-0001,UHA-0017,0.39555,-0.197973
UHA-0001,UHA-0018,9847.33,-0.257196
UHA-0001,UHA-0172,0.298944,-0.146316
UHA-0001,UHA-0174,0.334172,-0.13098
UHA-0001,UHA-0175,0.335533,-0.181762
UHA-0001,UHA-0176,0.33536,0.417407
UHA-0001,UHA-0177,0.33481,0.070099
UHA-0001,UHA-0178,0.341298,0.139511
UHA-0001,UHA-0179,0.307712,-0.006792
UHA-0001,UHA-0180,0.541362,-0.192431
UHA-0001,UHA-0181,0.560471,-0.285634
UHA-0001,UHA-0182,0.553166,-0.198182
UHA-0001,UHA-0183,0.265652,0.241318
UHA-0001,UHA-0186,0.35899,0.362719
UHA-0001,UHA-0187,0.138105,0.032462
UHA-0001,UHA-0188,0.344658,0.339599
UHA-0001,UHA-0189,0.329423,0.361142
UHA-0001,UHA-0190,0.340308,0.219435
UHA-0001,UHA-0191,0.00668806,0.361916
UHA-0001,UHA-0193,0.160996,-0.204442
UHA-0001,UHA-0194,0.166954,0.171391
UHA-0001,UHA-0195,0.164974,-0.081125
UHA-0001,UHA-0196,0.164543,0.20333
UHA-0001,UHA-0197,0.231059,-0.022107
UHA-0001,UHA-0198,0.239222,-0.080564
UHA-0001,UHA-0199,0.473138,-0.052433
UHA-0001,UHA-0202,0.31906,-0.191738
UHA-0001,UHA-0203,0.473892,-0.080505
UHA-0001,UHA-0204,0.473344,-0.186126
UHA-0001,UHA-0205,0.246419,-0.11992
UHA-0001,UHA-0207,0.142637,-0.271997
UHA-0001,UHA-0208,0.345848,-0.250768
UHA-0001,UHA-0210,0.267634,-0.151771
UHA-0001,UHA-0211,0.438786,-0.057321
UHA-0001,UHA-0212,0.442917,-0.03231
UHA-0001,UHA-0213,0.320581,0.075882
UHA-0001,UHA-0214,0.322446,0.172371
UHA-0001,UHA-0215,0.308007,0.194997
UHA-0001,UHA-0216,0.308912,0.025115
UHA-0001,UHA-0217,0.340658,0.079895
UHA-0001,UHA-0218,0.332545,0.006535
UHA-0001,UHA-0219,0.322347,-0.128402
UHA-0001,UHA-0220,0.312669,0.150639
UHA-0001,UHA-0221,0.400387,-0.050621
UHA-0001,UHA-0222,0.402663,-0.050621
UHA-0001,UHA-0223,0.277947,-0.056868
UHA-0001,UHA-0224,0.191963,-0.12947
UHA-0001,UHA-0225,0.170266,-0.16663
UHA-0001,UHA-0226,0.156992,-0.230128
UHA-0001,UHA-0227,0.163509,-0.183854
UHA-0001,UHA-0228,0.206274,-0.232395
UHA-0001,UHA-0229,0.39555,-0.197973
UHA-0001,UHA-0230,0.408748,-0.12014
UHA-0001,UHA-0231,0.139887,-0.143261
UHA-0001,UHA-0232,0.150006,-0.074421
UHA-0001,UHA-0233,0.145788,0.072019
UHA-0001,UHA-0234,0.290683,-0.096832
UHA-0001,UHA-0235,0.28302,-0.219459
UHA-0001,UHA-0236,0.295352,0.083582
UHA-0001,UHA-0237,0.130112,-0.12014
UHA-0001,UHA-0238,0.411344,-0.2344
UHA-0001,UHA-0239,0.0543018,-0.230128
UHA-0001,UHA-0240,0.0601212,-0.162162
UHA-0001,UHA-0241,0.371728,-0.09474
UHA-0001,UHA-0242,0.0934708,-0.16563
UHA-0001,UHA-0243,0.0990488,-0.165272
UHA-0001,UHA-0244,0.100529,0.066798
UHA-0001,UHA-0245,0.371545,0.131407
UHA-0001,UHA-0246,0.394696,-0.195417
UHA-0001,UHA-0247,0.372978,-0.045449
UHA-0001,UHA-0248,0.277577,-0.120226
UHA-0001,UHA-0249,0.270597,-0.189909
UHA-0001,UHA-0251,0.188423,-0.151509
UHA-0001,UHA-0252,0.194518,-0.302403
UHA-0001,UHA-0254,0.318793,-0.219169
UHA-0001,UHA-0255,0.278557,-0.140059
UHA-0001,UHA-0256,0.129346,-0.118245
UHA-0001,UHA-0257,0.0726345,-0.053101
UHA-0001,UHA-0258,0.0708566,0.063248
UHA-0001,UHA-0259,0.367602,-0.023909
UHA-0001,UHA-0260,0.0315698,0.034224
UHA-0001,UHA-0261,0.0356561,-0.152145
UHA-0001,UHA-0262,0.331898,-0.116089
UHA-0001,UHA-0263,0.370667,-0.218516
UHA-0001,UHA-0264,0.370699,-0.12947
UHA-0001,UHA-0265,0.376345,-0.112287
UHA-0001,UHA-0266,0.367825,-0.189909
UHA-0001,UHA-0267,0.342248,-0.023709
UHA-0001,UHA-0268,0.299126,-0.189401
UHA-0001,UHA-0269,0.295183,0.11171
UHA-0001,UHA-0270,0.342106,0.11266
UHA-0001,UHA-0271,0.342476,0.091074
UHA-0001,UHA-0272,0.346229,-0.065417
UHA-0001,UHA-0273,0.342897,0.048292
UHA-0001,UHA-0276,0.336697,-0.105202
UHA-0001,UHA-0277,0.343108,-0.029068
UHA-0001,UHA-0278,0.346169,-0.166503
UHA-0001,UHA-0279,0.455564,0.40649
UHA-0001,UHA-0280,0.458106,-0.105564
UHA-0001,UHA-0281,0.421886,-0.018686
UHA-0001,UHA-0282,0.438383,-0.113621
UHA-0001,UHA-0283,0.384981,0.292771
UHA-0001,UHA-0284,0.396234,0.019913
UHA-0001,UHA-0285,0.403092,0.377597
UHA-0001,UHA-0287,0.416703,0.235859
UHA-0001,UHA-0288,0.434556,-0.097034
UHA-0001,UHA-0289,0.444773,-0.065923
UHA-0001,UHA-0291,0.442667,0.264883
UHA-0001,UHA-0292,0.218406,-0.009333
UHA-0001,UHA-0293,0.220915,-0.095614
UHA-0001,UHA-0295,0.176208,-0.009333
UHA-0001,UHA-0299,0.177854,-0.241827
UHA-0001,UHA-0300,0.193907,0.149726
UHA-0001,UHA-0301,0.202846,-0.20121
UHA-0001,UHA-0302,0.2323,-0.142921
UHA-0001,UHA-0303,0.237081,-0.143261
UHA-0001,UHA-0304,0.23134,-0.061565
UHA-0001,UHA-0305,0.219023,-0.208939
UHA-0001,UHA-0306,0.222878,-0.247444
UHA-0001,UHA-0307,0.222853,-0.075054
UHA-0001,UHA-0308,0.223062,-0.126536
UHA-0001,UHA-0309,0.217149,-0.158797
UHA-0001,UHA-0310,0.23645,-0.20176
UHA-0001,UHA-0311,0.235833,0.458554
UHA-0001,UHA-0312,0.244753,-0.180484
UHA-0001,UHA-0313,0.268346,-0.218424
UHA-0001,UHA-0314,0.240545,0.198539
UHA-0001,UHA-0315,0.251888,0.009836
UHA-0001,UHA-0316,0.239301,-0.079247
UHA-0001,UHA-0317,0.243528,0.058754
UHA-0001,UHA-0318,0.168381,-0.131695
UHA-0001,UHA-0319,0.264916,0.283748
UHA-0001,UHA-0320,0.265641,0.382633
UHA-0001,UHA-0321,0.270494,-0.247444
UHA-0001,UHA-0322,0.270919,0.062913
UHA-0001,UHA-0323,0.279296,0.266274
UHA-0001,UHA-0324,0.281777,0.33176
UHA-0001,UHA-0325,0.283691,0.388353
UHA-0001,UHA-0326,0.281463,0.238786
UHA-0001,UHA-0327,0.276601,0.155574
UHA-0001,UHA-0328,0.291309,-0.071125
UHA-0001,UHA-0329,0.30488,-0.232395
UHA-0001,UHA-0330,0.304945,-0.181741
UHA-0001,UHA-0331,0.307984,0.241442
UHA-0001,UHA-0332,0.303573,-0.120119
UHA-0001,UHA-0333,0.294997,0.412119
UHA-0001,UHA-0334,0.315693,0.337622
UHA-0001,UHA-0335,0.309492,-0.039823
UHA-0001,UHA-0337,0.306054,-0.024147
UHA-0001,UHA-0338,0.344376,0.080985
UHA-0001,UHA-0339,0.360894,0.237928
UHA-0001,UHA-0340,0.399632,-0.123659
UHA-0001,UHA-0343,0.397675,0.324237
UHA-0001,UHA-0344,0.555444,-0.022055
UHA-0001,UHA-0345,0.317254,-0.208065
UHA-0001,UHA-0346,0.344061,-0.000335
UHA-0001,UHA-0347,0.369529,-0.034284
