"","row_names","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"1",1,"UHA-0126",9,0.00015,9.32e-06,"UHA-0010",9,9,1,2.94,"UHA-0266",9,9,2,-2.49,0,"",9,2,2.41,2.22,"+"
"2",2,"UHA-0127",8,0.00125,0.000888,"UHA-0010",9,8,1,0.873,"UHA-0259",9,8,1,3.06,1.16,"-",8,2,4.25,3.33,"+"
"3",3,"UHA-0135",9,0.00139,0.000108,"UHA-0010",9,9,1,2.53,"UHA-0257",9,9,0,5.6,5.6,"*",9,1,9.89,9.89,"*"
"5",5,"UHA-0169",9,0.00174,9.43e-07,"UHA-0013",9,9,0,4.36,"UHA-0269",9,9,0,11.1,6.08,"*",9,0,14.5,14.5,"*"
"6",6,"UHA-0058",9,0.000474,6.97e-06,"UHA-0260",9,9,0,8.56,"UHA-0351",9,9,0,8.79,8.79,"*",9,0,12.2,12.2,"*"
"7",7,"UHA-0020",9,2.2e-05,1.86e-07,"UHA-0261",9,9,1,3.06,"UHA-0260",9,9,0,15,15,"*",9,1,17,17,"*"
"8",8,"UHA-0023",8,0.00207,0.000431,"UHA-0261",9,8,1,0.543,"UHA-0260",9,8,0,9.76,8.68,"*",8,1,9.91,9.91,"*"
"9",9,"UHA-0025",9,4.04e-05,9.06e-07,"UHA-0261",9,9,0,11.4,"UHA-0258",9,9,1,5.26,5.26,"*",9,1,8.28,8.28,"*"
"10",10,"UHA-0026",9,0.00136,6.3e-05,"UHA-0261",9,9,0,10.8,"UHA-0351",9,9,1,3.88,3.88,"+",9,1,5.13,5.13,"*"
"11",11,"UHA-0027",9,0.000497,9.45e-06,"UHA-0261",9,9,0,9.29,"UHA-0257",9,9,0,7.2,7.2,"*",9,0,11.5,11.5,"*"
"12",12,"UHA-0028",9,0.000881,0.000133,"UHA-0261",9,9,1,4.24,"UHA-0257",9,9,0,5.59,5.59,"*",9,1,9.82,9.82,"*"
"13",13,"UHA-0099",9,0.000283,2.06e-05,"UHA-0257",9,9,0,9.3,"UHA-0258",9,9,0,8.78,8.78,"*",9,0,11.4,11.4,"*"
