Offspring_ID,Maternal_ID,MT_ID,Candidate_father_ID,CF_ID,Maternal_Species,Maternal_Longitude,Maternal_Latitude,Maternal_Accession,Candidate_Father_Species,Candidate_Father_Longitude,Candidate_Father_Latitude,Candidate_Father_Accession,DBH1_Paternal,DBH2_Paternal,DBH3_Paternal,DBH4_Paternal,Half_Sibs,M_Accession_Abrv,F_Accession_Abrv,dist_par,Hybrid_Status
UHA-0081,UHA-0014,MT5,UHA-0013,MT4,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.06758,41.815615,704-46*6,64.6,NA,NA,NA,TRUE,704-46,704-46,569.547996,FALSE
UHA-0068,UHA-0014,MT5,UHA-0224,CF4,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus macrocarpa,-88.068949,41.813826,1279-2004*2,33.8,NA,NA,NA,FALSE,704-46,1279-2,535.330239,TRUE
UHA-0077,UHA-0014,MT5,UHA-0224,CF4,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus macrocarpa,-88.068949,41.813826,1279-2004*2,33.8,NA,NA,NA,FALSE,704-46,1279-2,535.330239,TRUE
UHA-0074,UHA-0014,MT5,UHA-0256,CF5,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.065297,41.814547,474-2001*1,29.5,NA,NA,NA,FALSE,704-46,474-20,363.427718,FALSE
UHA-0070,UHA-0014,MT5,UHA-0262,CF8,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.064,41.811708,704-46*10,58.5,NA,NA,NA,TRUE,704-46,704-46,68.43453118,FALSE
UHA-0088,UHA-0014,MT5,UHA-0262,CF8,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.064,41.811708,704-46*10,58.5,NA,NA,NA,TRUE,704-46,704-46,68.43453118,FALSE
UHA-0080,UHA-0014,MT5,UHA-0265,CF11,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.063121,41.811813,704-46*16,52.5,NA,NA,NA,TRUE,704-46,704-46,14.95906857,FALSE
UHA-0069,UHA-0014,MT5,UHA-0266,CF12,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,17.92581772,FALSE
UHA-0071,UHA-0014,MT5,UHA-0266,CF12,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,17.92581772,FALSE
UHA-0072,UHA-0014,MT5,UHA-0266,CF12,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,17.92581772,FALSE
UHA-0076,UHA-0014,MT5,UHA-0266,CF12,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,17.92581772,FALSE
UHA-0089,UHA-0014,MT5,UHA-0266,CF12,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,17.92581772,FALSE
UHA-0090,UHA-0014,MT5,UHA-0266,CF12,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,17.92581772,FALSE
UHA-0091,UHA-0014,MT5,UHA-0266,CF12,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.063221,41.811843,704-46*17,74.5,32.2,15.1,16.8,TRUE,704-46,704-46,17.92581772,FALSE
UHA-0073,UHA-0014,MT5,UHA-0267,CF13,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.068212,41.816799,704-46*9,70.1,NA,NA,NA,TRUE,704-46,704-46,705.4535331,FALSE
UHA-0079,UHA-0014,MT5,UHA-0267,CF13,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.068212,41.816799,704-46*9,70.1,NA,NA,NA,TRUE,704-46,704-46,705.4535331,FALSE
UHA-0075,UHA-0014,MT5,UHA-0351,MT11,Quercus muehlenbergii,-88.063177,41.811685,704-46*13,Quercus muehlenbergii,-88.065622,41.814004,549-82*5,49.1,NA,NA,NA,FALSE,704-46,549-82,328.0512411,FALSE
