PlantId,Species_Name,Maternal tree ID,Cultivar?,Longitude,Latitude
2131-29*1,Quercus alba,NA,,-88.071929,41.813108
239-42*1,Quercus alba,NA,,-88.069282,41.816511
824-64*1,Quercus alba,NA,,-88.071347,41.811763
755-79*1,Quercus alba,QUAL-MT1,,-88.066639,41.813953
755-79*2,Quercus alba,NA,,-88.066243,41.814518
755-79*5,Quercus alba,QUAL-MT2,,-88.066559,41.813961
134-U*72,Quercus alba,QUAL-MT3,,-88.068732,41.815779
468-2001*1,Quercus alba,NA,,-88.062587,41.814651
468-2001*2,Quercus alba,NA,,-88.063049,41.815225
468-2001*3,Quercus alba,NA,,-88.062965,41.81532
1277-2004*1,Quercus alba,NA,,-88.069844,41.813993
1277-2004*3,Quercus alba,NA,,-88.069869,41.814047
392-2006*1,Quercus alba,NA,,-88.068177,41.813475
1278-2004*1,Quercus bicolor,NA,,-88.068569,41.814118
1278-2004*3,Quercus bicolor,NA,,-88.068624,41.813697
1278-2004*4,Quercus bicolor,NA,,-88.068607,41.81373
1278-2004*5,Quercus bicolor,NA,,-88.068609,41.813769
1294-2004*1,Quercus bicolor,NA,,-88.069395,41.813639
1294-2004*2,Quercus bicolor,NA,,-88.069494,41.813636
135-U*3,Quercus bicolor,QUBI-MT7,,-88.069315,41.816016
393-2006*1,Quercus bicolor,QUBI-MT3,,-88.069529,41.813432
393-2006*2,Quercus bicolor,QUBI-MT5,,-88.069997,41.814384
463-84*4,Quercus bicolor,QUBI-MT1,,-88.066721,41.814783
463-84*5,Quercus bicolor,QUBI-MT2,,-88.065546,41.814944
525-32*1,Quercus bicolor,NA,,-88.069329,41.816331
551-2005*3,Quercus bicolor,NA,,-88.068131,41.813429
789-2004*2,Quercus bicolor,QUBI-MT6,,-88.071058,41.815203
789-2004*3,Quercus bicolor,QUBI-MT4,,-88.070812,41.815453
537-82*2,Quercus macrocarpa,NA,,-88.066492,41.814429
537-82*3,Quercus macrocarpa,NA,,-88.066813,41.814478
548-82*2,Quercus macrocarpa,NA,,-88.065516,41.814031
548-82*4,Quercus macrocarpa,NA,,-88.065452,41.814057
548-82*5,Quercus macrocarpa,NA,,-88.065456,41.814153
316-85*1,Quercus macrocarpa,QUMA-MT7,,-88.072211,41.812859
248-86*1,Quercus macrocarpa,NA,,-88.0723,41.812873
527-2000*1,Quercus macrocarpa,NA,,-88.064893,41.814113
527-2000*2,Quercus macrocarpa,QUMA-MT2,,-88.06698,41.81485
527-2000*3,Quercus macrocarpa,NA,,-88.06334,41.814841
527-2000*4,Quercus macrocarpa,NA,,-88.063468,41.814898
527-2000*5,Quercus macrocarpa,NA,,-88.063326,41.814932
527-2000*6,Quercus macrocarpa,QUMA-MT5,,-88.065539,41.814788
478-2001*1,Quercus macrocarpa,QUMA-MT6,,-88.065699,41.814998
478-2001*2,Quercus macrocarpa,QUMA-MT1,,-88.065814,41.815105
478-2001*3,Quercus macrocarpa,NA,,-88.065708,41.81511
478-2001*4,Quercus macrocarpa,NA,,-88.07256,41.811522
1279-2004*10,Quercus macrocarpa,NA,,-88.069986,41.813794
1279-2004*2,Quercus macrocarpa,NA,,-88.068949,41.813826
1279-2004*3,Quercus macrocarpa,NA,,-88.068608,41.813516
1279-2004*7,Quercus macrocarpa,NA,,-88.068387,41.813409
1279-2004*8,Quercus macrocarpa,NA,,-88.068512,41.813491
1279-2004*9,Quercus macrocarpa,NA,,-88.069115,41.813764
1443-2004*1,Quercus macrocarpa,QUMA-MT4,,-88.071193,41.815018
582-2004*1,Quercus macrocarpa,QUMA-MT3,,-88.070533,41.815609
582-2004*3,Quercus macrocarpa,NA,,-88.070591,41.815934
582-2004*4,Quercus macrocarpa,NA,,-88.070395,41.815801
16-2006*1,Quercus macrocarpa,QUMA-MT8,,-88.070629,41.816114
54-2007*3,Quercus macrocarpa,NA,,-88.070338,41.815844
597-2001*4,Quercus macrocarpa,NA,Yes and there are multiple on site,-88.070724,41.812428
570-78*3,Quercus muehlenbergii,QUMU-MT16,,-88.066218,41.813887
549-82*4,Quercus muehlenbergii,QUMU-MT17,,-88.06577,41.814038
549-82*5,Quercus muehlenbergii,QUMU-MT18,,-88.065622,41.814004
704-46*11,Quercus muehlenbergii,NA,,-88.063389,41.811663
704-46*5,Quercus muehlenbergii,QUMU-MT1,,-88.069397,41.814984
704-46*15,Quercus muehlenbergii,QUMU-MT10,,-88.063301,41.811734
704-46*17,Quercus muehlenbergii,QUMU-MT11,,-88.063221,41.811843
704-46*16,Quercus muehlenbergii,QUMU-MT12,,-88.063121,41.811813
704-46*14,Quercus muehlenbergii,QUMU-MT13,,-88.063069,41.811735
704-46*10,Quercus muehlenbergii,QUMU-MT14,,-88.064,41.811708
704-46*8,Quercus muehlenbergii,QUMU-MT2,,-88.067413,41.816572
704-46*7,Quercus muehlenbergii,QUMU-MT3,,-88.068655,41.815796
704-46*1,Quercus muehlenbergii,QUMU-MT4,,-88.066633,41.81118
704-46*9,Quercus muehlenbergii,QUMU-MT5,,-88.068212,41.816799
704-46*6,Quercus muehlenbergii,QUMU-MT6,,-88.06758,41.815615
570-78*1,Quercus muehlenbergii,QUMU-MT7,,-88.066314,41.813805
704-46*13,Quercus muehlenbergii,QUMU-MT8,,-88.063177,41.811685
704-46*12,Quercus muehlenbergii,QUMU-MT9,,-88.063254,41.81167
549-82*6,Quercus muehlenbergii,NA,,-88.06581,41.814109
122-88*1,Quercus muehlenbergii,QUMU-MT15,,-88.071426,41.814499
474-2001*1,Quercus muehlenbergii,NA,,-88.065297,41.814547
