"Starhill_Accession_number","Longitude","Latitude","Species_Name","Genus","Species","Subspecific","Parentage","Year_Died","New_Compartment","Old_Compartment","Lot","Year_Outplanted","red_oak_t","white_oak_t","intermediate_oaks_t","cerris_oaks_t","Section","limit_names"
"2003-021",-89.80247014,39.93342368,"Quercus alba","Quercus","alba","","Lincoln Vault Oak","","A5","OOA",3,"2003",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1995-035",-89.80232463,39.93483938,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco' F2","","","A3","A",1,"1995",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"1995-035",-89.80223989,39.93485715,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco II'","","","A3","A",1,"1995",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2015-013",-89.80217828,39.93216463,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco II'","","","A7","OOOOA",2,"2015",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2008-068",-89.80212489,39.93300626,"Quercus_bebbiana","Quercus","bebbiana","","alba_macrocarpa","","A6","OOOA",4,"2008",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2009-148",-89.80208333,39.9328,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco'","","","A6","OOOA",2,"2009",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2007-025",-89.80201073,39.93335403,"Quercus_bebbiana","Quercus","bebbiana","","alba_macrocarpa","","A5","OOA",4,"2007",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2010-070",-89.80194443,39.93262748,"Quercus_bebbiana","Quercus","bebbiana","","alba_macrocarpa","","A6","OOOA",3,"2010",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"1994-013",-89.80101136,39.93403581,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco'","","","B4","OB",1,"1994",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"1900-037",-89.8003,39.93536667,"Quercus_bebbiana","Quercus","bebbiana","","alba_macrocarpa","","D3","D",NA,"spontaneous",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"1900-036",-89.79951667,39.9353,"Quercus_bebbiana","Quercus","bebbiana","","alba_macrocarpa","","D3","D",NA,"spontaneous",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"1999-048",-89.79849301,39.93566659,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco' F2","","","F1","FFF",1,"1999",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2001-059",-89.79843694,39.9358116,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco' F2","","","F1","FFF",1,"2001",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"1996-044",-89.79843283,39.93565368,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco' F2","","","F1","FFF",1,"1996",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2001-016",-89.79842931,39.93572619,"Quercus_bebbiana","Quercus","bebbiana"," 'Taco' F2","","","F1","FFF",1,"2001",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2000-047",-89.79840693,39.93558303,"Quercus_bebbiana","Quercus","bebbiana","","alba_macrocarpa","","F1","FFF",3,"2000",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"1994-015",-89.79833333,39.93536667,"Quercus_bebbiana","Quercus","bebbiana","","alba_macrocarpa F3","","F2","FF",2,"1994",FALSE,FALSE,FALSE,FALSE,NA,TRUE
"2010-083",-89.80238255,39.93295236,"Quercus alba","Quercus","alba"," 'Gatton Grave'","","","A6","OOOA",1,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2006-042",-89.80236663,39.93308555,"Quercus alba","Quercus","alba","","Wye Oak F2","","A5","OOA",4,"2006",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2012-066",-89.80226839,39.93240788,"Quercus alba","Quercus","alba"," 'Gatton Grave'","","","A7","OOOOA",1,"2012",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1900-039",-89.80223235,39.93537641,"Quercus alba","Quercus","alba","","","","A2","AA",9,"spontaneous",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2007-031",-89.8022041,39.93309134,"Quercus alba","Quercus","alba",""," 'Late Nut' F2","","A5","OOA",5,"2007",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2007-030",-89.80212774,39.93286452,"Quercus alba","Quercus","alba",""," 'Late Nut' F2","","A6","OOOA",5,"2007",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-156",-89.80206667,39.93291667,"Quercus alba","Quercus","alba","Gudgel Oak","","","A6","OOOA",6,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-019",-89.80196949,39.93212147,"Quercus alba","Quercus","alba"," 'Pathfinder'","","","A7","OOOOA",1,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-158",-89.80195818,39.93286628,"Quercus alba","Quercus","alba","","","","A6","OOOA",7,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2019-011",-89.80195,39.93196,"Quercus alba","Quercus","alba","Pathfinder'","","","A7","OOOOA",2,"2019",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-065",-89.80173094,39.93272874,"Quercus alba","Quercus","alba"," ""Golf Course""","","","A6","OOOA",10,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-066",-89.80168124,39.93267828,"Quercus alba","Quercus","alba"," 'Gatton Grave'","","","B6","OOOB",1,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1992-022",-89.80161033,39.93477182,"Quercus alba","Quercus","alba","","","","B3","B",1,"1992",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2002-020",-89.80126088,39.93393003,"Quercus alba","Quercus","alba"," 'Jasper'","","","B4","OB",1,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2002-021",-89.80121931,39.9341519,"Quercus alba","Quercus","alba","","Lincoln Vault Oak","","B4","OB",3,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2003-059",-89.80179749,39.93547096,"Quercus robur","Quercus",""," 'Salfast' F2","robur 'Salicifolia'_robur 'Fastigiata'","","A2","AA",1,"2003",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1982-032",-89.80226889,39.93523518,"Quercus macrocarpa","Quercus","macrocarpa","","","","A2","AA",1,"1982",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-036",-89.80212481,39.93502026,"Quercus macrocarpa","Quercus","macrocarpa"," 'Rough Rider'","","","A2","AA",1,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2015-021",-89.80212288,39.93219255,"Quercus macrocarpa","Quercus","macrocarpa","Big John'","","","A7","OOOOA",1,"2015",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1985-022",-89.80212238,39.93520894,"Quercus macrocarpa","Quercus","macrocarpa","","","","A2","AA",3,"1985",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1900-043",-89.80085,39.93553333,"Quercus macrocarpa","Quercus","macrocarpa","","","","C1","CCC",2,"spontaneous",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2019-051",-89.80077,39.93467,"Quercus macrocarpa","Quercus","macrocarpa","Motherlode'","","","C3","C",1,"2019",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1900-044",-89.80053333,39.93555,"Quercus macrocarpa","Quercus","macrocarpa","","","","C1","CCC",2,"spontaneous",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2019-013",-89.80049,39.93308,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",110,"2019",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-023",-89.80047299,39.93330482,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",100,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-024",-89.80046192,39.93319955,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",101,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2012-021",-89.80045907,39.93338655,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",86,"2012",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-026",-89.80042228,39.9331718,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",103,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-025",-89.80041859,39.93320332,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",104,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-070",-89.80041431,39.93331815,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",90,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2015-025",-89.80040166,39.93331094,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",96,"2015",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-075",-89.80039931,39.93350171,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",92,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2019-001",-89.80038,39.9331,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",109,"2019",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-071",-89.80036528,39.93333315,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",93,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2013-034",-89.80036285,39.93344958,"Quercus macrocarpa","Quercus","macrocarpa"," 'Rough Rider'","","","C5","OOC",1,"2013",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2017-025",-89.80033661,39.9331542,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",103,"2017",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-072",-89.80033536,39.93340432,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",95,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2017-026",-89.80030585,39.93327314,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",104,"2017",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-069",-89.80028708,39.9335101,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",89,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-073",-89.8002771,39.93342234,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",94,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2016-027",-89.80027509,39.93324255,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",102,"2016",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2013-038",-89.80027291,39.93359056,"Quercus macrocarpa","Quercus","macrocarpa"," 'Big John'","","","C5","OOC",1,"2013",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2015-022",-89.80025682,39.93337112,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",97,"2015",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2014-074",-89.80022664,39.93347665,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",91,"2014",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2015-024",-89.80020368,39.93342955,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",99,"2015",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2015-023",-89.80019186,39.93341672,"Quercus macrocarpa","Quercus","macrocarpa","","","","C5","OOC",98,"2015",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2018-022",-89.8001885,39.93321874,"Quercus macrocarpa","Quercus","macrocarpa","","","","D5","OOD",105,"2018",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2018-024",-89.80013461,39.93336149,"Quercus macrocarpa","Quercus","macrocarpa","","","","D5","OOD",107,"2018",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2018-023",-89.80010619,39.93330105,"Quercus macrocarpa","Quercus","macrocarpa","","","","D5","OOD",106,"2018",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2018-025",-89.80009404,39.93338764,"Quercus macrocarpa","Quercus","macrocarpa","","","","D5","OOD",108,"2018",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1997-039",-89.79855,39.93546667,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",43,"1997",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-039",-89.7985,39.93535,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",33,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-176",-89.79848966,39.93595158,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",76,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-173",-89.79847147,39.93589877,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",75,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2010-106",-89.79846879,39.93597832,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",83,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1997-038",-89.79846636,39.93555428,"Quercus macrocarpa","Quercus","macrocarpa"," 'Lippert' F2","","","F1","FFF",27,"1997",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-172",-89.79846627,39.93588955,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",74,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-054",-89.79845,39.93541667,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",26,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-060",-89.79845,39.93555,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",31,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-050",-89.79843333,39.9354,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",25,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-057",-89.79843333,39.93548333,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",32,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-174",-89.79842411,39.93593222,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",73,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-059",-89.7984,39.93555,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",34,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2008-050",-89.7984,39.93595,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",71,"2008",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2009-175",-89.79839084,39.93597002,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",77,"2009",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2010-107",-89.79838195,39.93601168,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",84,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2002-034",-89.79837307,39.93557774,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",39,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-049",-89.79836667,39.9354,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",21,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-056",-89.79836667,39.93545,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",24,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2002-032",-89.79836667,39.93598333,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",51,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2011-037",-89.79836309,39.93592777,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",85,"2011",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2010-101",-89.79834817,39.93599734,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",78,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1996-032",-89.79833401,39.93559761,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",38,"1996",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-044",-89.79833333,39.93538333,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",20,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-058",-89.79833333,39.9355,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",16,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1995-023",-89.79833333,39.93546667,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",28,"1995",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1996-025",-89.79831667,39.93543333,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",19,"1996",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2002-038",-89.79830308,39.93557397,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",52,"2002",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1996-033",-89.79830174,39.93559065,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",39,"1996",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-048",-89.79828333,39.9354,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",18,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1996-027",-89.79828333,39.93548333,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",36,"1996",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1996-029",-89.79828333,39.9355,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",35,"1996",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1997-040",-89.79827349,39.9355956,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",45,"1997",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2008-051",-89.79826667,39.93595,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",68,"2008",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-061",-89.79826553,39.93539762,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",15,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"2010-105",-89.79825463,39.93597647,"Quercus macrocarpa","Quercus","macrocarpa","","","","F1","FFF",82,"2010",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-042",-89.79825,39.93538333,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",12,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-043",-89.79825,39.93538333,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",16,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-047",-89.79825,39.9354,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",13,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
"1994-052",-89.79825,39.93541667,"Quercus macrocarpa","Quercus","macrocarpa","","","","F2","FF",17,"1994",FALSE,TRUE,FALSE,FALSE,"white_oak",TRUE
