"","V1"
"Quercus",NA
"Quercus acerifolia",NA
"Quercus acutissima",NA
"Quercus alba",NA
"Quercus aliena",NA
"Quercus aliena var. acutiserrata ",NA
"Quercus arizonica",NA
"Quercus arkansana",NA
"Quercus baronii",NA
"Quercus × bebbiana",NA
"Quercus × benderi",NA
"Quercus bicolor",NA
"Quercus × bimundorum",NA
"Quercus boyntonii",NA
"Quercus buckleyi",NA
"Quercus × bushii",NA
"Quercus cerris",NA
"Quercus chrysolepis",NA
"Quercus coccinea",NA
"Quercus dalechampii",NA
"Quercus × deamii",NA
"Quercus dentata",NA
"Quercus douglasii",NA
"Quercus ellipsoidalis",NA
"Quercus × exacta",NA
"Quercus faginea",NA
"Quercus falcata",NA
"Quercus × fernowii",NA
"Quercus × fontana",NA
"Quercus frainetto",NA
"Quercus franchetii",NA
"Quercus fusiformis",NA
"Quercus gambelii",NA
"Quercus georgiana",NA
"Quercus × guadalupensis",NA
"Quercus hartwissiana",NA
"Quercus hemisphaerica",NA
"Quercus × humidicola",NA
"Quercus ilicifolia",NA
"Quercus imbricaria",NA
"Quercus infectoria",NA
"Quercus invaginata",NA
"Quercus × jackiana",NA
"Quercus laurifolia",NA
"Quercus lusitanica",NA
"Quercus lyrata",NA
"Quercus × macdanielii",NA
"Quercus macranthera ",NA
"Quercus macrocarpa",NA
"Quercus marilandica",NA
"Quercus michauxii",NA
"Quercus mohriana",NA
"Quercus mongolica",NA
"Quercus montana",NA
"Quercus muehlenbergii",NA
"Quercus nigra",NA
"Quercus oglethorpensis",NA
"Quercus pagoda",NA
"Quercus palustris",NA
"Quercus petraea",NA
"Quercus phellos",NA
"Quercus prinoides",NA
"Quercus pubescen",NA
"Quercus pyrenaica",NA
"Quercus robur ",NA
"Quercus robur",NA
"Quercus rubra",NA
"Quercus × runcinata",NA
"Quercus × saulii",NA
"Quercus × schuettei",NA
"Quercus serrata",NA
"Quercus shumardii",NA
"Quercus sinuata",NA
"Quercus stellata",NA
"Quercus × sternbergii",NA
"Quercus × subfalcata",NA
"Quercus texana",NA
"Quercus variabilis",NA
"Quercus velutina",NA
"Quercus × warei",14
