"","V1"
"Quercus lobata",157
"Quercus kelloggii",2
"Quercus chrysolepis",14
"Quercus virginiana",12
"Quercus agrifolia",96
"Quercus douglasii",10
"Quercus engelmannii",14
"Quercus turbinella",19
"Quercus palmeri",3
"Quercus grisea",8
"Quercus aff. arizonica",3
"Quercus laceyi",6
"Quercus wislizeni",4
"Quercus durata",2
"Quercus tomentella",3
"Quercus garryana",10
"Quercus berberidifolia",12
"Quercus acutissima",3
"Quercus ithaburensis",6
"Quercus canariensis × Quercus robur",1
"Quercus robur",11
"Quercus suber",16
"Quercus macrocarpa",18
"Quercus gambelii",9
"Quercus pungens",3
"Quercus vaseyana",3
"Quercus muehlenbergii",10
"Quercus margaretta",2
"Quercus trojana",3
"Quercus sinuata",4
"Quercus myrsinifolia",1
"Quercus alba",1
"Quercus petraea",1
"Quercus kelloggii × wislizeni",2
"Quercus infectoria",6
"Quercus coccifera",5
"Quercus canariensis × robur",1
"Quercus cerris",2
"Quercus rotundifolia",2
"Quercus castaneifolia × cerris",5
"Quercus ilex",4
"Quercus lobata × douglasii",1
"Quercus rugosa",5
"Quercus lobata × cornelius-mulleri",2
"Quercus prinoides",1
"Quercus brandegeei",2
"Quercus × acutidens",2
"Quercus macrocarpa × gambelii",1
"Quercus turbinella × stellata",2
"Quercus robur × macrocarpa",6
"Quercus turbinella × garryana",2
"Quercus macrocarpa × lobata",1
"Quercus turbinella × gambelii",3
"Quercus turbinella × suber",2
"Quercus gambelii × sp.",2
"Quercus mexicana",1
"Quercus obtusata",4
"Quercus diversifolia",2
"Quercus oleoides",2
"Quercus crassifolia",1
"Quercus greggii",2
"Quercus crassipes",4
"Quercus gambelii × macrocarpa",10
"Quercus gambelii × mongolica",1
"Quercus gambelii × robur",2
"Quercus robur × lobata",1
"Quercus robur × mongolica",3
"Quercus robur × turbinella",10
"Quercus turbinella × lobata",2
"Quercus turbinella × virginiana",5
"Quercus gambelii × gambelii × havardii",1
"Quercus macrocarpa × macrocarpa × turbinella",2
"Quercus robur × macrocarpa × turbinella",1
"Quercus faginea",1
"Quercus macrocarpa × turbinella",21
"Quercus gravesii",2
"Quercus candicans",1
"Quercus castaneifolia",1
"Quercus × hispanica",1
"Quercus buckleyi",4
"Quercus fusiformis",5
"Quercus phillyreoides",10
"Quercus undulata",1
"Quercus germana",4
"Quercus corrugata",1
"Quercus pubescens",2
"Quercus turbinella × sp.",1
"Quercus emoryi",1
"Quercus gambelii × rugosa",1
"Quercus oblongifolia",1
"Quercus rugosa × lobata",2
"Quercus rugosa × lobata?",1
"Quercus john-tuckeri",10
"Quercus dumosa",9
"Quercus schottkyana",1
"Quercus variabilis",2
"Quercus graciliformis × gravesii",2
"Quercus robusta",2
"Quercus canbyi",3
"Quercus frainetto",1
"Quercus havardii",1
"Quercus marilandica",3
"Quercus mohriana",3
"Quercus stellata",4
"Quercus robur × robur",1
"Quercus peduncularis",2
"Quercus arizonica",5
"Quercus parvula",6
"Quercus × macdonaldii",10
