"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0126","UHA-0010","UHA-0266",NA,NA,NA,NA,"Quercus muehlenbergii",-88.063221,41.811843,"704-46*17",74.5,32.2,15.1,16.8,NA,NA,"704-46",NA,NA
"UHA-0127","UHA-0010","UHA-0259",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066622,41.817259,"550-82*6",54.5,NA,NA,NA,NA,NA,"550-82",NA,NA
"UHA-0135","UHA-0010","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0169","UHA-0013","UHA-0269",NA,NA,NA,NA,"Quercus prinoides",-88.063184,41.813308,"120-2001*3",16.4,8.1,NA,NA,NA,NA,"120-20",NA,NA
"UHA-0058","UHA-0260","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0020","UHA-0261","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0023","UHA-0261","UHA-0260",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,NA,NA,"570-78",NA,NA
"UHA-0025","UHA-0261","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0026","UHA-0261","UHA-0351",NA,NA,NA,NA,"Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0027","UHA-0261","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0028","UHA-0261","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0099","UHA-0257","UHA-0258",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0029","UHA-0261","UHA-0257",NA,NA,NA,NA,"Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,NA,NA,"549-82",NA,NA
"UHA-0043","UHA-0260","UHA-0261",NA,NA,NA,NA,"Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",50.6,NA,NA,NA,NA,NA,"570-78",NA,NA
