"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","DBH1_Paternal","DBH2_Paternal","DBH3_Paternal","DBH4_Paternal","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","dist_par","Hybrid_Status"
"UHA-0020","UHA-0261","UHA-0260","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0021","UHA-0261","UHA-0260","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0022","UHA-0261","UHA-0257","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0023","UHA-0261","UHA-0260","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",66.6,NA,NA,NA,TRUE,"570-78","570-78",12.1070215511337,FALSE
"UHA-0024","UHA-0261","UHA-0420","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus macrocarpa",-88.06417,41.816727,NA,58.5,NA,NA,NA,NA,"570-78",NA,358.410782292471,TRUE
"UHA-0025","UHA-0261","UHA-0258","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.06581,41.814109,"549-82*6",39.2,NA,NA,NA,FALSE,"570-78","549-82",41.9200876913421,FALSE
"UHA-0026","UHA-0261","UHA-0351","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",49.1,NA,NA,NA,FALSE,"570-78","549-82",51.1992694526717,FALSE
"UHA-0027","UHA-0261","UHA-0257","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0028","UHA-0261","UHA-0257","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,FALSE,"570-78","549-82",40.8287737366712,FALSE
"UHA-0029","UHA-0261","UHA-0257","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",68.2,NA,NA,NA,FALSE,"570-78","549-82",40.8287737366712,FALSE
