"Offspring_ID","Maternal_ID","Candidate_father_ID","Maternal_Species","Maternal_Longitude","Maternal_Latitude","Maternal_Accession","Candidate_Father_Species","Candidate_Father_Longitude","Candidate_Father_Latitude","Candidate_Father_Accession","Half_Sibs","M_Accession_Abrv","F_Accession_Abrv","DBH_avg","dist.x","relate_coef.x","dist.y","relate_coef.y","comp_status","dist_par","Hybrid_Status"
"UHA-0020","UHA-0261","UHA-0260","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",66.6,NA,NA,0.0121008,0.344665,1,12.1070215511337,FALSE
"UHA-0021","UHA-0261","UHA-0260","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",66.6,NA,NA,0.0121008,0.344665,1,12.1070215511337,FALSE
"UHA-0023","UHA-0261","UHA-0260","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",66.6,NA,NA,0.0121008,0.344665,1,12.1070215511337,FALSE
"UHA-0026","UHA-0261","UHA-0351","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",49.1,0.0510782,0.014227,NA,NA,4,51.1992694526717,FALSE
"UHA-0029","UHA-0261","UHA-0257","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0407481,0.036397,4,40.8287737366712,FALSE
"UHA-0036","UHA-0261","UHA-0257","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0407481,0.036397,4,40.8287737366712,FALSE
"UHA-0037","UHA-0261","UHA-0257","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0407481,0.036397,4,40.8287737366712,FALSE
"UHA-0038","UHA-0261","UHA-0351","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",49.1,0.0510782,0.014227,NA,NA,4,51.1992694526717,FALSE
"UHA-0040","UHA-0261","UHA-0351","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",49.1,0.0510782,0.014227,NA,NA,4,51.1992694526717,FALSE
"UHA-0041","UHA-0261","UHA-0260","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1",TRUE,"570-78","570-78",66.6,NA,NA,0.0121008,0.344665,1,12.1070215511337,FALSE
"UHA-0045","UHA-0260","UHA-0351","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",49.1,0.0614704,0.044718,NA,NA,4,61.6013448946619,FALSE
"UHA-0046","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0519982,0.060558,4,52.0859387345233,FALSE
"UHA-0047","UHA-0260","UHA-0351","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.065622,41.814004,"549-82*5",FALSE,"570-78","549-82",49.1,0.0614704,0.044718,NA,NA,4,61.6013448946619,FALSE
"UHA-0048","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0519982,0.060558,4,52.0859387345233,FALSE
"UHA-0050","UHA-0260","UHA-0261","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.066218,41.813887,"570-78*3",TRUE,"570-78","570-78",50.6,0.0121008,0.344665,NA,NA,1,12.1070215511337,FALSE
"UHA-0051","UHA-0260","UHA-0257","Quercus muehlenbergii",-88.066314,41.813805,"570-78*1","Quercus muehlenbergii",-88.06577,41.814038,"549-82*4",FALSE,"570-78","549-82",68.2,NA,NA,0.0519982,0.060558,4,52.0859387345233,FALSE
