"","Offspring_ID","Loci_typed","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
"3","UHA-0022",13,"UHA-0261",13,13,3,3.35,"UHA-0257",13,13,2,1.88,0,"",13,4,3.69,2.38,"*"
"6","UHA-0025",13,"UHA-0261",13,13,2,6.06,"UHA-0258",12,12,4,1.28,0,"",12,4,4.86,4.79,"*"
"7","UHA-0026",12,"UHA-0261",13,12,1,7.37,"UHA-0351",13,12,2,4.32,0,"",12,4,3.13,3.13,"*"
"8","UHA-0027",13,"UHA-0261",13,13,3,2.44,"UHA-0257",13,13,2,2.33,0,"",13,3,7.16,7.16,"*"
"9","UHA-0028",13,"UHA-0261",13,13,3,1.01,"UHA-0257",13,13,1,4.1,0,"",13,6,1.85,0.0163,"-"
"10","UHA-0029",13,"UHA-0261",13,13,2,1.42,"UHA-0257",13,13,0,6.33,0.735,"-",13,5,3.81,2.8,"*"
"11","UHA-0036",12,"UHA-0261",13,12,2,1.79,"UHA-0257",13,12,1,4.21,0,"",12,4,4.19,4.19,"*"
"13","UHA-0038",13,"UHA-0261",13,13,3,1.14,"UHA-0351",13,13,0,12.7,6.82,"*",13,4,12.1,9.64,"*"
"14","UHA-0040",13,"UHA-0261",13,13,2,2.91,"UHA-0351",13,13,1,6.03,0,"",13,4,5.27,3.94,"*"
"15","UHA-0041",13,"UHA-0261",13,13,1,6.19,"UHA-0260",13,13,0,13.4,11.8,"*",13,2,15.1,13,"*"
"16","UHA-0043",12,"UHA-0260",13,12,0,9.42,"UHA-0261",13,12,2,1.58,0.349,"-",12,2,1.92,0.698,"+"
"17","UHA-0044",13,"UHA-0260",13,13,0,13.9,"UHA-0512",12,12,2,5.21,4.26,"*",12,4,1.12,1.12,"+"
"18","UHA-0045",13,"UHA-0260",13,13,2,2.94,"UHA-0351",13,13,2,3.98,0.546,"-",13,5,2.81,1.93,"+"
"19","UHA-0046",13,"UHA-0260",13,13,1,7.44,"UHA-0257",13,13,1,4.69,1.91,"+",13,2,7.35,6.71,"*"
"20","UHA-0047",13,"UHA-0260",13,13,1,7.49,"UHA-0351",13,13,2,1.93,0.331,"-",13,3,2.53,1.57,"+"
"21","UHA-0048",13,"UHA-0260",13,13,1,5.02,"UHA-0257",13,13,1,4.3,3.07,"*",13,2,6.76,6.17,"*"
"22","UHA-0049",13,"UHA-0260",13,13,3,0.639,"UHA-0257",13,13,2,0.533,0,"",13,5,3.78,3.78,"*"
"23","UHA-0050",13,"UHA-0260",13,13,0,10.4,"UHA-0261",13,13,2,9.25,4.89,"*",13,2,9.08,4.48,"*"
"25","UHA-0052",13,"UHA-0260",13,13,1,6.91,"UHA-0259",12,12,1,6.39,4.19,"*",12,4,4.09,3.17,"*"
"26","UHA-0053",13,"UHA-0260",13,13,2,4.09,"UHA-0351",13,13,1,8.84,6.4,"*",13,3,9.45,7.13,"*"
"27","UHA-0054",13,"UHA-0260",13,13,2,4.56,"UHA-0351",13,13,2,5.11,2.85,"+",13,4,4.8,2.75,"*"
"28","UHA-0055",13,"UHA-0260",13,13,3,0.709,"UHA-0259",12,12,2,3.82,1.58,"+",12,6,0.772,0.0743,"-"
"29","UHA-0056",12,"UHA-0260",13,12,2,1.84,"UHA-0258",12,11,3,1.77,0,"",11,3,5.16,3.89,"*"
"30","UHA-0058",12,"UHA-0260",13,12,2,4.16,"UHA-0351",13,12,0,12.1,11,"*",12,2,13.9,13.8,"*"
"31","UHA-0059",13,"UHA-0260",13,13,3,2.34,"UHA-0257",13,13,1,5.78,1.24,"+",13,4,7.55,5.04,"*"
"32","UHA-0068",12,"UHA-0014",13,12,0,7.47,"UHA-0224",13,12,1,6.08,0,"",12,1,7.11,0.0116,"-"
"33","UHA-0069",13,"UHA-0014",13,13,0,6.89,"UHA-0266",12,12,1,7.58,0,"",12,1,9.2,5.67,"*"
"34","UHA-0070",13,"UHA-0014",13,13,0,10.6,"UHA-0262",13,13,0,11.5,0.261,"-",13,0,12.1,0.505,"+"
"35","UHA-0071",12,"UHA-0014",13,12,0,8.55,"UHA-0266",12,12,1,7.23,1.79,"+",12,1,8.89,6.17,"*"
"36","UHA-0072",13,"UHA-0014",13,13,0,7.35,"UHA-0266",12,12,0,9.34,5.37,"*",12,0,12.4,11,"*"
"37","UHA-0073",13,"UHA-0014",13,13,0,11,"UHA-0267",13,13,0,12.7,2.21,"+",13,1,10.5,3.47,"*"
"38","UHA-0074",13,"UHA-0014",13,13,0,4.82,"UHA-0256",11,11,2,3.17,0,"",11,3,3.23,3.23,"*"
"39","UHA-0075",12,"UHA-0014",13,12,0,8.88,"UHA-0351",13,12,1,5.95,0,"",12,1,8.69,8.52,"*"
"40","UHA-0076",13,"UHA-0014",13,13,0,8.99,"UHA-0266",12,12,0,10.2,0.901,"-",12,0,12.3,10.5,"*"
"41","UHA-0077",13,"UHA-0014",13,13,0,9.9,"UHA-0224",13,13,2,2.3,0,"",13,2,5.26,1.14,"+"
"42","UHA-0079",13,"UHA-0014",13,13,0,12.8,"UHA-0267",13,13,0,13.1,1.24,"+",13,0,13.6,0.691,"+"
"43","UHA-0080",12,"UHA-0014",13,12,0,8.28,"UHA-0265",13,12,0,12,3.1,"*",12,1,13.9,9.56,"*"
"44","UHA-0081",12,"UHA-0014",13,12,0,11.5,"UHA-0013",13,12,0,9.18,0,"",12,0,10.1,1.3,"+"
"45","UHA-0088",13,"UHA-0014",13,13,0,8.53,"UHA-0262",13,13,0,8.89,4.3,"*",13,2,6.05,1.9,"+"
"46","UHA-0089",13,"UHA-0014",13,13,0,10.2,"UHA-0266",12,12,1,7.39,0,"",12,1,10.1,6.21,"*"
"47","UHA-0090",13,"UHA-0014",13,13,0,8.16,"UHA-0266",12,12,0,11.6,2.21,"+",12,0,14.9,14.7,"*"
"48","UHA-0091",13,"UHA-0014",13,13,0,7.7,"UHA-0266",12,12,1,6.89,0.56,"-",12,1,9.08,7.76,"*"
"49","UHA-0093",11,"UHA-0015",13,11,1,5.38,"UHA-0265",13,11,0,9.12,1.67,"+",11,1,10.1,3.88,"*"
"50","UHA-0094",13,"UHA-0015",13,13,1,8.76,"UHA-0266",12,12,1,6.67,0.377,"-",12,2,9.35,9.35,"*"
"51","UHA-0095",13,"UHA-0015",13,13,1,6.75,"UHA-0266",12,12,0,10.2,0.8,"-",12,1,13.3,13,"*"
"52","UHA-0096",10,"UHA-0015",13,10,1,2.05,"UHA-0266",12,10,0,7,1.68,"+",10,1,8.93,6.53,"*"
"53","UHA-0097",12,"UHA-0015",13,12,2,5.06,"UHA-0266",12,11,0,9.12,0.43,"-",11,2,10.5,5.27,"*"
"54","UHA-0098",13,"UHA-0257",13,13,1,3.13,"UHA-0260",13,13,1,6.04,4.5,"*",13,2,10.2,8,"*"
"55","UHA-0099",13,"UHA-0257",13,13,0,8.28,"UHA-0258",12,12,3,3.24,2.42,"+",12,3,3.48,3.2,"*"
"56","UHA-0100",13,"UHA-0257",13,13,0,8.64,"UHA-0256",11,11,3,1.1,0.643,"-",11,3,2.41,2.41,"*"
"57","UHA-0101",11,"UHA-0257",13,11,2,1.42,"UHA-0260",13,11,2,1.42,1.39,"+",11,3,5.15,2.44,"*"
"58","UHA-0102",13,"UHA-0257",13,13,1,4.81,"UHA-0351",13,13,1,9.69,7.24,"*",13,3,9.25,6.73,"*"
"60","UHA-0105",13,"UHA-0257",13,13,0,10.4,"UHA-0268",13,13,3,4.03,1.87,"+",13,4,1.09,0.294,"+"
"61","UHA-0106",13,"UHA-0257",13,13,2,2.74,"UHA-0260",13,13,1,4.35,1.73,"+",13,3,6.13,4.14,"*"
"62","UHA-0109",13,"UHA-0257",13,13,1,4.48,"UHA-0261",13,13,2,3.92,0,"",13,4,4.73,4.05,"*"
"63","UHA-0110",13,"UHA-0257",13,13,0,10.1,"UHA-0256",11,11,3,-0.306,0,"",11,3,0.0311,0.0311,"-"
"64","UHA-0111",13,"UHA-0257",13,13,0,11,"UHA-0351",13,13,2,3.24,0,"",13,2,6.22,3.96,"*"
"66","UHA-0113",13,"UHA-0257",13,13,1,5.73,"UHA-0260",13,13,2,2.52,0,"",13,2,5.77,1.52,"+"
"67","UHA-0114",13,"UHA-0257",13,13,2,2.36,"UHA-0260",13,13,3,2.2,0.647,"-",13,5,4.19,4.19,"*"
"68","UHA-0115",13,"UHA-0351",13,13,1,6.5,"UHA-0303",13,13,4,-1.93,0,"",13,4,0.889,0.381,"+"
"69","UHA-0116",13,"UHA-0351",13,13,2,3.74,"UHA-0260",13,13,1,7.79,5.84,"*",13,3,9.62,6.78,"*"
"70","UHA-0118",13,"UHA-0351",13,13,1,8.21,"UHA-0260",13,13,1,6.77,0,"",13,2,8.8,0.987,"+"
"71","UHA-0119",13,"UHA-0351",13,13,1,7.68,"UHA-0257",13,13,2,4.71,2.39,"+",13,3,4.66,4.14,"*"
"72","UHA-0120",13,"UHA-0351",13,13,1,8.87,"UHA-0257",13,13,2,3.6,1.06,"+",13,4,2.82,2.82,"*"
"73","UHA-0121",13,"UHA-0351",13,13,1,10.6,"UHA-0257",13,13,2,3.16,0,"",13,3,4.18,3.6,"*"
"74","UHA-0122",13,"UHA-0351",13,13,1,10.3,"UHA-0257",13,13,2,3.09,0,"",13,3,3.79,2.06,"+"
"75","UHA-0123",13,"UHA-0010",12,12,1,5.55,"UHA-0258",12,12,2,5.76,0.365,"-",12,2,7.43,5.11,"*"
"76","UHA-0124",12,"UHA-0010",12,11,0,5.7,"UHA-0258",12,11,1,5.12,0.21,"-",11,1,6.43,3.33,"*"
"78","UHA-0126",13,"UHA-0010",12,12,1,5.33,"UHA-0266",12,12,2,2.89,0,"",12,2,5.64,0.99,"+"
"79","UHA-0127",11,"UHA-0010",12,10,1,4.09,"UHA-0258",12,11,3,2.69,0,"",11,3,3.41,0.0704,"-"
"80","UHA-0128",13,"UHA-0010",12,12,2,0.234,"UHA-0258",12,12,3,2.83,0,"",12,3,6.73,5.43,"*"
"81","UHA-0129",12,"UHA-0010",12,11,0,6.36,"UHA-0258",12,11,2,4.08,0,"",11,2,4.65,2.99,"*"
"82","UHA-0130",13,"UHA-0010",12,12,1,6.41,"UHA-0258",12,12,3,2.34,0,"",12,3,3.26,0.278,"+"
"83","UHA-0131",13,"UHA-0010",12,12,1,4.65,"UHA-0263",13,13,0,8.95,3.4,"*",13,5,1.45,1.45,"+"
"84","UHA-0132",13,"UHA-0010",12,12,1,4.84,"UHA-0263",13,13,1,8.03,4.15,"*",13,4,5.03,3.33,"*"
"85","UHA-0133",13,"UHA-0010",12,12,0,8.81,"UHA-0011",13,13,1,3.6,0,"",13,1,6.24,1.4,"+"
"86","UHA-0134",12,"UHA-0010",12,11,1,5.9,"UHA-0258",12,12,2,4.47,0,"",12,2,6.76,2.59,"*"
"87","UHA-0135",13,"UHA-0010",12,12,1,4.84,"UHA-0257",13,13,1,4.78,4.78,"*",13,3,4.25,4.25,"*"
"88","UHA-0136",13,"UHA-0010",12,12,1,4.7,"UHA-0258",12,12,3,2.42,0,"",12,3,4.1,1.55,"+"
"89","UHA-0137",12,"UHA-0010",12,12,1,5.02,"UHA-0015",13,12,1,6.9,0,"",12,2,5.1,0.734,"+"
"90","UHA-0138",13,"UHA-0010",12,12,0,6.02,"UHA-0293",12,12,3,3.13,0,"",12,3,5.58,3.73,"*"
"91","UHA-0139",13,"UHA-0010",12,12,0,9.38,"UHA-0260",13,13,1,7,5.65,"*",13,1,8.4,8.4,"*"
"92","UHA-0140",13,"UHA-0010",12,12,1,5.89,"UHA-0266",12,12,4,-0.867,0,"",12,4,0.134,0.134,"-"
"93","UHA-0141",13,"UHA-0010",12,12,0,7.21,"UHA-0257",13,13,0,6.26,3.01,"*",13,2,6.53,5.85,"*"
"94","UHA-0142",13,"UHA-0010",12,12,0,7.53,"UHA-0210",12,12,4,-0.312,0,"",12,4,1.24,1.24,"+"
"95","UHA-0143",13,"UHA-0010",12,12,1,5.36,"UHA-0258",12,12,3,2.02,0,"",12,3,4.16,2.76,"*"
"96","UHA-0144",13,"UHA-0010",12,12,0,8.86,"UHA-0265",13,13,1,9.04,2.86,"+",13,3,5.76,1.17,"+"
"98","UHA-0147",12,"UHA-0010",12,11,0,7.94,"UHA-0259",12,11,0,7.64,5.82,"*",11,3,3.9,0.982,"+"
"99","UHA-0148",13,"UHA-0012",13,13,1,8.39,"UHA-0476",13,13,0,12.7,11.2,"*",13,1,14.9,14.9,"*"
"100","UHA-0150",13,"UHA-0012",13,13,0,9.9,"UHA-0266",12,12,0,11,10,"*",12,0,14.1,14.1,"*"
"101","UHA-0151",13,"UHA-0012",13,13,0,13,"UHA-0351",13,13,1,4.9,4.9,"*",13,1,7.61,7.61,"*"
"102","UHA-0152",13,"UHA-0012",13,13,0,8.95,"UHA-0260",13,13,2,6.02,0.615,"-",13,3,5.4,2.71,"*"
"103","UHA-0153",13,"UHA-0012",13,13,0,12.5,"UHA-0259",12,12,2,1.16,1.16,"+",12,3,1.13,1.13,"+"
"104","UHA-0154",13,"UHA-0012",13,13,1,6.03,"UHA-0257",13,13,2,2.65,0,"",13,2,6.37,6.37,"*"
"105","UHA-0155",13,"UHA-0012",13,13,0,9.96,"UHA-0257",13,13,3,0.989,0,"",13,3,2.4,1.73,"+"
"107","UHA-0157",13,"UHA-0012",13,13,0,10.3,"UHA-0257",13,13,1,5.98,2.65,"+",13,1,9.55,9.55,"*"
