"MT_ID","Off_N","Fathers_N","Hybrid_Off_N","Hybrid_Father_N","Half_Sib_Off_N","Half_Sib_Father_N","Min_Dist","Max_Dist","Hybrid_Min","Hybrid_Max"
"UHA-0009","1","1","0","0","0","0","313.491852","313.491852","0","0"
"UHA-0010","22","10","1","1","6","0","100.7069102","644.8753571","0","0"
"UHA-0012","14","9","3","3","5","0","43.49197583","625.7850576","1","1"
"UHA-0013","2","2","1","1","0","0","226.894363","446.1821668","0","1"
"UHA-0014","17","8","2","1","13","0","14.95906857","705.4535331","0","0"
"UHA-0015","6","2","0","0","6","0","19.34956161","19.4097193","0","0"
"UHA-0016","2","2","0","0","2","0","17.41890984","19.27824963","0","0"
"UHA-0257","13","5","0","0","3","0","8.557737707","330.9427411","0","0"
"UHA-0260","25","7","3","2","5","0","12.10702155","384.4873918","0","0"
"UHA-0261","13","3","0","0","4","0","12.10702155","51.19926945","0","0"
"UHA-0351","6","2","0","0","4","0","12.86432096","61.60134489","0","0"
