"MT_ID","Off_N","Fathers_N","Hybrid_Off_N","Hybrid_Father_N","Half_Sib_Off_N","Half_Sib_Father_N","Min_Dist","Max_Dist","Hybrid_Min","Hybrid_Max"
"MT1","1","1","0","0","0","0","342.070535402491","342.070535402491","0","0"
"MT2","28","10","2","1","9","6","100.706910233348","647.236699502281","0","0"
"MT3","21","10","4","2","6","3","43.4919758298184","667.465107291902","1","1"
"MT4","3","3","1","1","1","1","226.894363018014","560.307984256704","0","0"
"MT5","23","9","1","1","19","6","14.9590685740559","633.546559668374","0","0"
"MT6","8","4","0","0","6","2","19.3495616125236","347.682647396823","0","0"
"MT7","2","2","0","0","2","2","17.4189098382475","19.2782496310739","0","0"
"MT8","19","5","0","0","9","2","8.55773770662482","330.942741099015","0","0"
"MT9","28","7","1","1","5","2","12.1070215511337","340.108688848631","0","0"
"MT10","14","4","0","0","4","1","12.1070215511337","51.1992694526717","0","0"
"MT11","8","5","0","0","5","2","12.8643209565563","317.432153808082","0","0"
