"rownames","Offspring_ID","Loci_typed","First_parent_non_exclusion_probability","Second_parent_non_exclusion_probability","Mother_ID","Loci_typed_1","Pair_loci_compared","Pair_loci_mismatching","Pair_LOD_score","Candidate_father_ID","Loci_typed_2","Pair_loci_compared_1","Pair_loci_mismatching_1","Pair_LOD_score_1","Pair_Delta","Pair_confidence","Trio_loci_compared","Trio_loci_mismatching","Trio_LOD_score","Trio_Delta","Trio_confidence"
1,"UHA-0020",9,2.56e-05,0.0144,"UHA-0001",9,9,7,-15.4,"UHA-0260",9,9,0,12.1,11.1,"*",9,7,9.46,7.1,"*"
2,"UHA-0021",9,6.47e-05,0.000306,"UHA-0001",9,9,7,-15.6,"UHA-0260",9,9,0,9.49,7.08,"*",9,9,2.16,0.568,"+"
3,"UHA-0022",9,0.000177,0.793,"UHA-0001",9,9,7,-15.6,"UHA-0261",9,9,2,2.72,0,"",9,7,3.93,0.379,"+"
4,"UHA-0023",8,0.00206,0.062,"UHA-0001",9,8,6,-13.9,"UHA-0259",9,8,1,3.58,0,"",8,6,4.52,2.19,"*"
5,"UHA-0024",9,0.000431,0.0153,"UHA-0001",9,9,5,-9.53,"UHA-0526",7,7,1,2.07,2.07,"+",7,4,3.7,0.126,"+"
7,"UHA-0026",9,0.00136,0.00608,"UHA-0001",9,9,6,-13.5,"UHA-0261",9,9,1,4.73,0,"",9,7,4.49,0.953,"+"
9,"UHA-0028",9,0.000902,0.0308,"UHA-0001",9,9,7,-16.9,"UHA-0260",9,9,1,3.31,1.78,"+",9,8,2.61,1.51,"+"
10,"UHA-0029",9,0.000519,0.15,"UHA-0001",9,9,7,-16.2,"UHA-0260",9,9,1,4.53,0,"",9,7,4.58,2.28,"*"
11,"UHA-0036",9,0.00032,0.15,"UHA-0001",9,9,7,-16.2,"UHA-0260",9,9,1,4.29,1.53,"+",9,7,4.38,2.39,"*"
12,"UHA-0037",9,0.000499,0.123,"UHA-0001",9,9,6,-12.8,"UHA-0257",9,9,1,2.31,0,"",9,6,3.39,0.98,"+"
13,"UHA-0038",9,0.000885,0.00608,"UHA-0001",9,9,6,-13.5,"UHA-0260",9,9,1,3.76,0,"",9,7,3.94,0.167,"+"
14,"UHA-0040",9,0.00285,0.00608,"UHA-0001",9,9,6,-13.5,"UHA-0260",9,9,1,3.54,0,"",9,7,3.8,0.801,"+"
15,"UHA-0041",9,0.00014,0.00132,"UHA-0001",9,9,6,-12.9,"UHA-0260",9,9,0,11.3,6.87,"*",9,7,7.29,5.42,"*"
16,"UHA-0043",9,0.000936,0.0587,"UHA-0001",9,9,5,-7.81,"UHA-0260",9,9,0,8.04,8.04,"*",9,5,5.6,3.41,"*"
17,"UHA-0044",9,1.87e-05,0.0128,"UHA-0001",9,9,7,-14.9,"UHA-0260",9,9,0,11.4,8.35,"*",9,8,6.8,3.87,"*"
18,"UHA-0045",9,0.000489,0.00943,"UHA-0001",9,9,6,-12.9,"UHA-0259",9,9,2,0.927,0,"",9,6,4.82,4.34,"*"
19,"UHA-0046",9,0.000695,0.00531,"UHA-0001",9,9,6,-12.6,"UHA-0512",9,9,3,0.059,0,"",9,6,5.38,2.81,"*"
20,"UHA-0047",9,0.00239,0.000971,"UHA-0001",9,9,4,-5.44,"UHA-0260",9,9,1,5.98,3.71,"*",9,6,1.49,1.35,"+"
21,"UHA-0048",9,0.00144,0.793,"UHA-0001",9,9,7,-15.6,"UHA-0257",9,9,1,2.51,0.187,"-",9,7,2.49,0.298,"+"
23,"UHA-0050",9,0.000184,0.0118,"UHA-0001",9,9,7,-15.9,"UHA-0261",9,9,2,5.77,0,"",9,7,8.15,5.71,"*"
25,"UHA-0052",9,0.000574,6.94e-05,"UHA-0001",9,9,5,-9.88,"UHA-0259",9,9,1,4.11,0.526,"-",9,6,5.6,5.4,"*"
26,"UHA-0053",9,0.000496,0.101,"UHA-0001",9,9,6,-12,"UHA-0351",9,9,0,9.68,9.11,"*",9,6,7.84,5.45,"*"
28,"UHA-0055",9,0.000222,0.124,"UHA-0001",9,9,7,-14.8,"UHA-0259",9,9,2,1.22,1.22,"+",9,7,3.94,0.852,"+"
29,"UHA-0056",8,0.00164,0.401,"UHA-0001",9,8,6,-13,"UHA-0264",9,8,1,3,0.712,"-",8,6,3.87,0.87,"+"
30,"UHA-0058",9,0.000619,0.0117,"UHA-0001",9,9,5,-8,"UHA-0351",9,9,0,8.28,6.1,"*",9,6,4.58,0.659,"+"
31,"UHA-0059",9,0.000371,0.000391,"UHA-0001",9,9,6,-13.7,"UHA-0257",9,9,1,3.29,0.87,"-",9,8,1.14,1.11,"+"
32,"UHA-0068",9,0.00178,0.0377,"UHA-0001",9,9,5,-10.2,"UHA-0224",9,9,1,3.2,0,"",9,5,4.58,1.05,"+"
33,"UHA-0069",9,0.00239,0.107,"UHA-0001",9,9,6,-13.5,"UHA-0266",9,9,1,6.01,1.75e-05,"-",9,6,6.47,4.14,"*"
34,"UHA-0070",9,0.00279,0.0742,"UHA-0001",9,9,6,-13.5,"UHA-0262",9,9,0,10.3,1.05,"+",9,6,8.12,0.712,"+"
35,"UHA-0071",9,0.00057,0.107,"UHA-0001",9,9,6,-13.5,"UHA-0266",9,9,1,5.02,0,"",9,6,5.63,2.73,"*"
36,"UHA-0072",9,0.00178,0.191,"UHA-0001",9,9,6,-13.5,"UHA-0266",9,9,0,7.64,1.67,"+",9,6,6.17,3.84,"*"
37,"UHA-0073",9,0.000591,0.0987,"UHA-0001",9,9,6,-12.1,"UHA-0262",9,9,0,9.36,0,"",9,6,7.69,0.0898,"+"
38,"UHA-0074",9,0.00278,0.359,"UHA-0001",9,9,6,-12.9,"UHA-0009",9,9,0,4.69,0.499,"-",9,6,3.15,0.543,"+"
