"MT_ID","Off_N","Fathers_N","Hybrid_Off_N","Hybrid_Father_N","Half_Sib_Off_N","Half_Sib_Father_N","Min_Dist","Max_Dist","Hybrid_Min","Hybrid_Max"
"MT1","1","1","0","0","0","0","342.070535402491","342.070535402491","0","0"
"MT2","20","5","0","0","2","2","100.706910233348","644.875357093583","0","0"
"MT3","16","6","1","1","2","2","43.4919758298184","332.432959690211","1","0"
"MT4","2","2","1","1","0","0","226.894363018014","446.182166819954","0","1"
"MT5","23","9","2","1","19","6","14.9590685740559","644.730154887766","0","0"
"MT6","6","3","0","0","5","2","19.3495616125236","347.682647396823","0","0"
"MT7","2","2","0","0","2","2","17.4189098382475","19.2782496310739","0","0"
"MT8","17","4","0","0","8","2","8.55773770662482","52.0859387345233","0","0"
"MT9","24","5","0","0","4","1","12.1070215511337","340.108688848631","0","0"
"MT10","14","4","0","0","4","1","12.1070215511337","51.1992694526717","0","0"
"MT11","7","4","0","0","5","2","12.8643209565563","61.6013448946619","0","0"
