"","Ia","p.Ia","rbarD","p.rD"
"QS03797_1:MSQ13_1",0.04,0.01,0.04,0.01
"QS03797_1:QrZAG20_1",0.06,0,0.06,0
"QS03797_1:QS00314_1",-0.01,0.78,-0.01,0.78
"QS03797_1:QpZAG9_1",0.07,0,0.07,0
"QS03797_1:QS1904_1",0.04,0.09,0.04,0.09
"QS03797_1:MSQ4_1",0.05,0.03,0.05,0.03
"QS03797_1:QpZAG110_1",0.04,0.02,0.04,0.02
"QS03797_1:QS00562_1",0.01,0.44,0.01,0.44
"QS03797_1:QpZAG119_1",0.02,0.06,0.03,0.05
"QS03797_1:QrZAG87_1",-0.04,0.93,-0.04,0.94
"QS03797_1:QpZAG1/5_1",0.04,0,0.04,0
"QS03797_1:QM69-2M1_1",0.04,0,0.04,0
"MSQ13_1:QrZAG20_1",0.2,0,0.2,0
"MSQ13_1:QS00314_1",0.03,0.16,0.03,0.15
"MSQ13_1:QpZAG9_1",0.18,0,0.18,0
"MSQ13_1:QS1904_1",0,0.5,0,0.5
"MSQ13_1:MSQ4_1",0.04,0,0.04,0
"MSQ13_1:QpZAG110_1",0.25,0,0.26,0
"MSQ13_1:QS00562_1",0.04,0.01,0.04,0
"MSQ13_1:QpZAG119_1",0.09,0,0.09,0
"MSQ13_1:QrZAG87_1",0.02,0.13,0.02,0.12
"MSQ13_1:QpZAG1/5_1",0.15,0,0.15,0
"MSQ13_1:QM69-2M1_1",0.2,0,0.2,0
"QrZAG20_1:QS00314_1",0.07,0,0.08,0
"QrZAG20_1:QpZAG9_1",0.12,0,0.12,0
"QrZAG20_1:QS1904_1",0.01,0.31,0.01,0.3
"QrZAG20_1:MSQ4_1",0.02,0.01,0.02,0.01
"QrZAG20_1:QpZAG110_1",0.18,0,0.2,0
"QrZAG20_1:QS00562_1",0.01,0.08,0.01,0.06
"QrZAG20_1:QpZAG119_1",0.07,0,0.07,0
"QrZAG20_1:QrZAG87_1",0.06,0,0.07,0
"QrZAG20_1:QpZAG1/5_1",0.12,0,0.12,0
"QrZAG20_1:QM69-2M1_1",0.13,0,0.13,0
"QS00314_1:QpZAG9_1",0.11,0,0.12,0
"QS00314_1:QS1904_1",0.06,0.01,0.06,0.01
"QS00314_1:MSQ4_1",0.03,0.07,0.03,0.07
"QS00314_1:QpZAG110_1",0.16,0,0.16,0
"QS00314_1:QS00562_1",0.01,0.6,0.01,0.6
"QS00314_1:QpZAG119_1",0.04,0,0.04,0
"QS00314_1:QrZAG87_1",0.19,0,0.19,0
"QS00314_1:QpZAG1/5_1",0.09,0,0.09,0
"QS00314_1:QM69-2M1_1",0.11,0,0.12,0
"QpZAG9_1:QS1904_1",0.02,0.18,0.02,0.17
"QpZAG9_1:MSQ4_1",0.06,0.01,0.06,0.01
"QpZAG9_1:QpZAG110_1",0.1,0,0.11,0
"QpZAG9_1:QS00562_1",0.01,0.51,0.01,0.49
"QpZAG9_1:QpZAG119_1",0.05,0,0.05,0
"QpZAG9_1:QrZAG87_1",0.04,0.01,0.05,0
"QpZAG9_1:QpZAG1/5_1",0.13,0,0.13,0
"QpZAG9_1:QM69-2M1_1",0.14,0,0.14,0
"QS1904_1:MSQ4_1",0.05,0.05,0.05,0.05
"QS1904_1:QpZAG110_1",-0.03,0.94,-0.03,0.94
"QS1904_1:QS00562_1",-0.02,0.8,-0.02,0.8
"QS1904_1:QpZAG119_1",-0.01,0.73,-0.02,0.74
"QS1904_1:QrZAG87_1",-0.1,1,-0.11,1
"QS1904_1:QpZAG1/5_1",0,0.58,0,0.59
"QS1904_1:QM69-2M1_1",0,0.58,0,0.58
"MSQ4_1:QpZAG110_1",0.13,0,0.14,0
"MSQ4_1:QS00562_1",-0.03,1,-0.03,1
"MSQ4_1:QpZAG119_1",0.03,0,0.03,0
"MSQ4_1:QrZAG87_1",-0.01,0.7,-0.01,0.71
"MSQ4_1:QpZAG1/5_1",0.07,0,0.07,0
"MSQ4_1:QM69-2M1_1",0.05,0,0.05,0
"QpZAG110_1:QS00562_1",0.05,0.01,0.05,0.01
"QpZAG110_1:QpZAG119_1",0.1,0,0.12,0
"QpZAG110_1:QrZAG87_1",0.35,0,0.35,0
"QpZAG110_1:QpZAG1/5_1",0.2,0,0.21,0
"QpZAG110_1:QM69-2M1_1",0.3,0,0.32,0
"QS00562_1:QpZAG119_1",0,0.48,0.01,0.46
"QS00562_1:QrZAG87_1",0.05,0.04,0.05,0.04
"QS00562_1:QpZAG1/5_1",0.04,0.02,0.04,0.01
"QS00562_1:QM69-2M1_1",0.07,0,0.08,0
"QpZAG119_1:QrZAG87_1",0.06,0,0.07,0
"QpZAG119_1:QpZAG1/5_1",0.09,0,0.09,0
"QpZAG119_1:QM69-2M1_1",0.09,0,0.1,0
"QrZAG87_1:QpZAG1/5_1",0.09,0,0.1,0
"QrZAG87_1:QM69-2M1_1",0.15,0,0.16,0
"QpZAG1/5_1:QM69-2M1_1",0.23,0,0.23,0
